  x,     y,    camp
    0.27075E+01,    0.95468E+02,    0.49146E-01
    0.14850E+01,    0.94360E+02,    0.49128E-01
    0.12200E+01,    0.92705E+02,    0.49086E-01
    0.11950E+01,    0.90882E+02,    0.49020E-01
    0.12025E+01,    0.88915E+02,    0.48940E-01
    0.11225E+01,    0.86885E+02,    0.48820E-01
    0.10525E+01,    0.84897E+02,    0.48664E-01
    0.10125E+01,    0.82933E+02,    0.48463E-01
    0.10050E+01,    0.80968E+02,    0.48207E-01
    0.10075E+01,    0.78992E+02,    0.47873E-01
    0.10150E+01,    0.77005E+02,    0.47425E-01
    0.10250E+01,    0.75005E+02,    0.46813E-01
    0.10350E+01,    0.72998E+02,    0.45961E-01
    0.10450E+01,    0.70983E+02,    0.44747E-01
    0.10575E+01,    0.68960E+02,    0.42961E-01
    0.10750E+01,    0.66912E+02,    0.40178E-01
    0.11125E+01,    0.64778E+02,    0.35164E-01
    0.93750E+00,    0.62648E+02,    0.27203E-01
    0.49250E+00,    0.60812E+02,    0.14739E-01
    0.10900E+01,    0.60425E+02,    0.12150E-01
    0.13975E+01,    0.60177E+02,    0.11410E-01
    0.18325E+01,    0.60070E+02,    0.13749E-01
    0.23100E+01,    0.59980E+02,    0.16827E-01
    0.27875E+01,    0.59858E+02,    0.19972E-01
    0.32575E+01,    0.59700E+02,    0.23407E-01
    0.37375E+01,    0.59553E+02,    0.26390E-01
    0.42100E+01,    0.59358E+02,    0.29537E-01
    0.46750E+01,    0.59110E+02,    0.33015E-01
    0.51350E+01,    0.58848E+02,    0.36279E-01
    0.55575E+01,    0.58565E+02,    0.39465E-01
    0.59500E+01,    0.58282E+02,    0.42889E-01
    0.63475E+01,    0.57998E+02,    0.45133E-01
    0.67450E+01,    0.57688E+02,    0.47469E-01
    0.71225E+01,    0.57355E+02,    0.50349E-01
    0.74800E+01,    0.57010E+02,    0.52896E-01
    0.78325E+01,    0.56660E+02,    0.54855E-01
    0.81875E+01,    0.56292E+02,    0.57067E-01
    0.85550E+01,    0.55875E+02,    0.58861E-01
    0.88375E+01,    0.55392E+02,    0.61074E-01
    0.90375E+01,    0.54902E+02,    0.63647E-01
    0.92450E+01,    0.54438E+02,    0.65178E-01
    0.94400E+01,    0.53972E+02,    0.66166E-01
    0.96200E+01,    0.53507E+02,    0.67792E-01
    0.97900E+01,    0.53047E+02,    0.68957E-01
    0.99850E+01,    0.52593E+02,    0.69520E-01
    0.10140E+02,    0.52082E+02,    0.70050E-01
    0.10215E+02,    0.51530E+02,    0.70676E-01
    0.10263E+02,    0.51003E+02,    0.71037E-01
    0.10285E+02,    0.50488E+02,    0.71715E-01
    0.10285E+02,    0.49975E+02,    0.72147E-01
    0.10262E+02,    0.49468E+02,    0.71821E-01
    0.10217E+02,    0.48965E+02,    0.71259E-01
    0.10155E+02,    0.48463E+02,    0.71057E-01
    0.10072E+02,    0.47960E+02,    0.70595E-01
    0.99650E+01,    0.47460E+02,    0.69780E-01
    0.98300E+01,    0.46960E+02,    0.68775E-01
    0.96675E+01,    0.46463E+02,    0.67519E-01
    0.94650E+01,    0.45995E+02,    0.65952E-01
    0.92525E+01,    0.45550E+02,    0.64977E-01
    0.90450E+01,    0.45087E+02,    0.63388E-01
    0.88075E+01,    0.44598E+02,    0.61009E-01
    0.84975E+01,    0.44162E+02,    0.59162E-01
    0.81575E+01,    0.43790E+02,    0.57554E-01
    0.78375E+01,    0.43413E+02,    0.55287E-01
    0.75025E+01,    0.43037E+02,    0.53256E-01
    0.71500E+01,    0.42675E+02,    0.50741E-01
    0.67825E+01,    0.42332E+02,    0.47755E-01
    0.64125E+01,    0.42000E+02,    0.45310E-01
    0.60550E+01,    0.41648E+02,    0.42674E-01
    0.56275E+01,    0.41315E+02,    0.39341E-01
    0.51350E+01,    0.41038E+02,    0.35959E-01
    0.46500E+01,    0.40795E+02,    0.32611E-01
    0.41700E+01,    0.40565E+02,    0.29228E-01
    0.36975E+01,    0.40388E+02,    0.26074E-01
    0.32250E+01,    0.40260E+02,    0.23070E-01
    0.27575E+01,    0.40108E+02,    0.19789E-01
    0.22850E+01,    0.39990E+02,    0.16751E-01
    0.18150E+01,    0.39910E+02,    0.13634E-01
    0.13825E+01,    0.39807E+02,    0.11372E-01
    0.10625E+01,    0.39553E+02,    0.12242E-01
    0.47250E+00,    0.39173E+02,    0.14771E-01
    0.85250E+00,    0.37310E+02,    0.27087E-01
    0.99250E+00,    0.35188E+02,    0.35286E-01
    0.98000E+00,    0.33085E+02,    0.40214E-01
    0.10000E+01,    0.31058E+02,    0.42977E-01
    0.10225E+01,    0.29037E+02,    0.44731E-01
    0.10275E+01,    0.27017E+02,    0.45941E-01
    0.10250E+01,    0.25005E+02,    0.46801E-01
    0.10200E+01,    0.22997E+02,    0.47419E-01
    0.10150E+01,    0.21002E+02,    0.47871E-01
    0.10125E+01,    0.19010E+02,    0.48209E-01
    0.10150E+01,    0.17023E+02,    0.48467E-01
    0.10325E+01,    0.15033E+02,    0.48668E-01
    0.10675E+01,    0.13025E+02,    0.48825E-01
    0.11100E+01,    0.10997E+02,    0.48945E-01
    0.10875E+01,    0.90550E+01,    0.49025E-01
    0.11200E+01,    0.72625E+01,    0.49089E-01
    0.13775E+01,    0.56275E+01,    0.49125E-01
    0.25225E+01,    0.45250E+01,    0.49141E-01
    0.42425E+01,    0.20925E+01,    0.49154E-01
    0.13690E+02,    0.40050E+01,    0.49315E-01
    0.23990E+02,    0.47525E+01,    0.49509E-01
    0.34180E+02,    0.49925E+01,    0.49676E-01
    0.44638E+02,    0.49250E+01,    0.49753E-01
    0.44825E+02,    0.14290E+02,    0.49815E-01
    0.45332E+02,    0.23230E+02,    0.49934E-01
    0.45345E+02,    0.32123E+02,    0.50096E-01
    0.45645E+02,    0.40838E+02,    0.50254E-01
    0.45780E+02,    0.49543E+02,    0.50325E-01
    0.45513E+02,    0.58507E+02,    0.50262E-01
    0.45492E+02,    0.67703E+02,    0.50099E-01
    0.45545E+02,    0.76750E+02,    0.49937E-01
    0.44892E+02,    0.85663E+02,    0.49816E-01
    0.44663E+02,    0.95070E+02,    0.49753E-01
    0.34263E+02,    0.95050E+02,    0.49677E-01
