 X,    Y,   CCL  
    0.00000E+00,    0.10000E+03,    0.00000E+00
    0.00000E+00,    0.98000E+02,    0.18282E+09
    0.00000E+00,    0.96000E+02,    0.72271E+08
    0.00000E+00,    0.94000E+02,    0.99674E+08
    0.00000E+00,    0.92000E+02,    0.94868E+08
    0.00000E+00,    0.90000E+02,    0.95443E+08
    0.00000E+00,    0.88000E+02,    0.95004E+08
    0.00000E+00,    0.86000E+02,    0.94655E+08
    0.00000E+00,    0.84000E+02,    0.94164E+08
    0.00000E+00,    0.82000E+02,    0.93475E+08
    0.00000E+00,    0.80000E+02,    0.92500E+08
    0.00000E+00,    0.78010E+02,    0.91122E+08
    0.00000E+00,    0.76010E+02,    0.89160E+08
    0.00000E+00,    0.74010E+02,    0.86436E+08
    0.00000E+00,    0.72010E+02,    0.82879E+08
    0.00000E+00,    0.70010E+02,    0.79049E+08
    0.00000E+00,    0.68010E+02,    0.77233E+08
    0.00000E+00,    0.66010E+02,    0.84640E+08
    0.00000E+00,    0.64010E+02,    0.12806E+09
    0.00000E+00,    0.62010E+02,    0.26680E+09
    0.00000E+00,    0.60010E+02,    0.81038E+09
    0.50000E+00,    0.60000E+02,    0.91162E+09
    0.10000E+01,    0.59960E+02,    0.96598E+09
    0.14900E+01,    0.59900E+02,    0.94863E+09
    0.19800E+01,    0.59810E+02,    0.82924E+09
    0.24700E+01,    0.59700E+02,    0.66493E+09
    0.29500E+01,    0.59570E+02,    0.50361E+09
    0.34200E+01,    0.59410E+02,    0.34928E+09
    0.38900E+01,    0.59220E+02,    0.23113E+09
    0.43400E+01,    0.59020E+02,    0.15455E+09
    0.47900E+01,    0.58790E+02,    0.10202E+09
    0.52200E+01,    0.58540E+02,    0.70608E+08
    0.56400E+01,    0.58270E+02,    0.55670E+08
    0.60400E+01,    0.57980E+02,    0.49853E+08
    0.64300E+01,    0.57670E+02,    0.45197E+08
    0.68100E+01,    0.57340E+02,    0.39914E+08
    0.71700E+01,    0.56990E+02,    0.38485E+08
    0.75100E+01,    0.56620E+02,    0.38717E+08
    0.78300E+01,    0.56240E+02,    0.39029E+08
    0.81300E+01,    0.55840E+02,    0.40500E+08
    0.84100E+01,    0.55430E+02,    0.41745E+08
    0.86700E+01,    0.55010E+02,    0.42810E+08
    0.89100E+01,    0.54570E+02,    0.46694E+08
    0.91200E+01,    0.54120E+02,    0.51185E+08
    0.93200E+01,    0.53660E+02,    0.54938E+08
    0.94900E+01,    0.53190E+02,    0.59885E+08
    0.96400E+01,    0.52710E+02,    0.66737E+08
    0.97600E+01,    0.52230E+02,    0.74853E+08
    0.98600E+01,    0.51740E+02,    0.83193E+08
    0.99300E+01,    0.51240E+02,    0.91270E+08
    0.99800E+01,    0.50750E+02,    0.99332E+08
    0.10010E+02,    0.50250E+02,    0.10804E+09
    0.10010E+02,    0.49750E+02,    0.11683E+09
    0.99800E+01,    0.49250E+02,    0.12439E+09
    0.99300E+01,    0.48760E+02,    0.13019E+09
    0.98600E+01,    0.48260E+02,    0.13495E+09
    0.97600E+01,    0.47770E+02,    0.13817E+09
    0.96400E+01,    0.47290E+02,    0.13887E+09
    0.94900E+01,    0.46810E+02,    0.13729E+09
    0.93200E+01,    0.46340E+02,    0.13145E+09
    0.91200E+01,    0.45880E+02,    0.12460E+09
    0.89100E+01,    0.45430E+02,    0.11518E+09
    0.86700E+01,    0.44990E+02,    0.10174E+09
    0.84100E+01,    0.44570E+02,    0.81465E+08
    0.81300E+01,    0.44160E+02,    0.63904E+08
    0.78300E+01,    0.43760E+02,    0.45116E+08
    0.75100E+01,    0.43380E+02,    0.24203E+08
    0.71700E+01,    0.43010E+02,    0.58707E+07
    0.68100E+01,    0.42660E+02,    0.00000E+00
    0.64300E+01,    0.42330E+02,    0.00000E+00
    0.60400E+01,    0.42020E+02,    0.00000E+00
    0.56400E+01,    0.41730E+02,    0.00000E+00
    0.52200E+01,    0.41460E+02,    0.00000E+00
    0.47900E+01,    0.41210E+02,    0.00000E+00
    0.43400E+01,    0.40980E+02,    0.00000E+00
    0.38900E+01,    0.40780E+02,    0.00000E+00
    0.34200E+01,    0.40590E+02,    0.00000E+00
    0.29500E+01,    0.40430E+02,    0.00000E+00
    0.24700E+01,    0.40300E+02,    0.00000E+00
    0.19800E+01,    0.40190E+02,    0.00000E+00
    0.14900E+01,    0.40100E+02,    0.00000E+00
    0.10000E+01,    0.40040E+02,    0.00000E+00
    0.50000E+00,    0.40000E+02,    0.00000E+00
    0.00000E+00,    0.39990E+02,    0.00000E+00
    0.00000E+00,    0.37990E+02,    0.13146E+09
    0.00000E+00,    0.35990E+02,    0.13442E+09
    0.00000E+00,    0.33990E+02,    0.11429E+09
    0.00000E+00,    0.31990E+02,    0.10738E+09
    0.00000E+00,    0.29990E+02,    0.10369E+09
    0.00000E+00,    0.27990E+02,    0.10147E+09
    0.00000E+00,    0.25990E+02,    0.99999E+08
    0.00000E+00,    0.23990E+02,    0.99018E+08
    0.00000E+00,    0.21990E+02,    0.98330E+08
    0.00000E+00,    0.20000E+02,    0.97857E+08
    0.00000E+00,    0.18000E+02,    0.97499E+08
    0.00000E+00,    0.16000E+02,    0.97228E+08
    0.00000E+00,    0.14000E+02,    0.97004E+08
    0.00000E+00,    0.12000E+02,    0.96819E+08
    0.00000E+00,    0.10000E+02,    0.96632E+08
    0.00000E+00,    0.80000E+01,    0.96528E+08
    0.00000E+00,    0.60000E+01,    0.96411E+08
    0.00000E+00,    0.40000E+01,    0.96322E+08
    0.00000E+00,    0.20000E+01,    0.96328E+08
    0.00000E+00,    0.00000E+00,    0.96320E+08
    0.10000E+02,    0.00000E+00,    0.96320E+08
    0.20000E+02,    0.00000E+00,    0.96320E+08
    0.30000E+02,    0.00000E+00,    0.96320E+08
