 X,    Y,   CH  
    0.00000E+00,    0.10000E+03,    0.60200E+02
    0.00000E+00,    0.98000E+02,    0.60139E+02
    0.00000E+00,    0.96000E+02,    0.60140E+02
    0.00000E+00,    0.94000E+02,    0.60223E+02
    0.00000E+00,    0.92000E+02,    0.60326E+02
    0.00000E+00,    0.90000E+02,    0.60407E+02
    0.00000E+00,    0.88000E+02,    0.60560E+02
    0.00000E+00,    0.86000E+02,    0.60747E+02
    0.00000E+00,    0.84000E+02,    0.60967E+02
    0.00000E+00,    0.82000E+02,    0.61258E+02
    0.00000E+00,    0.80000E+02,    0.61638E+02
    0.00000E+00,    0.78010E+02,    0.62136E+02
    0.00000E+00,    0.76010E+02,    0.62857E+02
    0.00000E+00,    0.74010E+02,    0.63689E+02
    0.00000E+00,    0.72010E+02,    0.65940E+02
    0.00000E+00,    0.70010E+02,    0.63638E+02
    0.00000E+00,    0.68010E+02,    0.89624E+02
    0.00000E+00,    0.66010E+02,    0.00000E+00
    0.00000E+00,    0.64010E+02,    0.45583E+04
    0.00000E+00,    0.62010E+02,    0.00000E+00
    0.00000E+00,    0.60010E+02,    0.00000E+00
    0.50000E+00,    0.60000E+02,    0.00000E+00
    0.10000E+01,    0.59960E+02,    0.00000E+00
    0.14900E+01,    0.59900E+02,    0.00000E+00
    0.19800E+01,    0.59810E+02,    0.00000E+00
    0.24700E+01,    0.59700E+02,    0.00000E+00
    0.29500E+01,    0.59570E+02,    0.00000E+00
    0.34200E+01,    0.59410E+02,    0.00000E+00
    0.38900E+01,    0.59220E+02,    0.00000E+00
    0.43400E+01,    0.59020E+02,    0.00000E+00
    0.47900E+01,    0.58790E+02,    0.00000E+00
    0.52200E+01,    0.58540E+02,    0.00000E+00
    0.56400E+01,    0.58270E+02,    0.00000E+00
    0.60400E+01,    0.57980E+02,    0.00000E+00
    0.64300E+01,    0.57670E+02,    0.00000E+00
    0.68100E+01,    0.57340E+02,    0.00000E+00
    0.71700E+01,    0.56990E+02,    0.00000E+00
    0.75100E+01,    0.56620E+02,    0.00000E+00
    0.78300E+01,    0.56240E+02,    0.00000E+00
    0.81300E+01,    0.55840E+02,    0.00000E+00
    0.84100E+01,    0.55430E+02,    0.00000E+00
    0.86700E+01,    0.55010E+02,    0.00000E+00
    0.89100E+01,    0.54570E+02,    0.00000E+00
    0.91200E+01,    0.54120E+02,    0.37950E+04
    0.93200E+01,    0.53660E+02,    0.35079E+04
