 X,    Y,   CNA  
    0.00000E+00,    0.10000E+03,    0.42754E+07
    0.00000E+00,    0.98000E+02,    0.00000E+00
    0.00000E+00,    0.96000E+02,    0.23806E+08
    0.00000E+00,    0.94000E+02,    0.49709E+08
    0.00000E+00,    0.92000E+02,    0.71684E+08
    0.00000E+00,    0.90000E+02,    0.86185E+08
    0.00000E+00,    0.88000E+02,    0.93026E+08
    0.00000E+00,    0.86000E+02,    0.95834E+08
    0.00000E+00,    0.84000E+02,    0.96761E+08
    0.00000E+00,    0.82000E+02,    0.97159E+08
    0.00000E+00,    0.80000E+02,    0.97473E+08
    0.00000E+00,    0.78010E+02,    0.97853E+08
    0.00000E+00,    0.76010E+02,    0.98389E+08
    0.00000E+00,    0.74010E+02,    0.99163E+08
    0.00000E+00,    0.72010E+02,    0.10033E+09
    0.00000E+00,    0.70010E+02,    0.10214E+09
    0.00000E+00,    0.68010E+02,    0.10508E+09
    0.00000E+00,    0.66010E+02,    0.11141E+09
    0.00000E+00,    0.64010E+02,    0.12662E+09
    0.00000E+00,    0.62010E+02,    0.12589E+09
    0.00000E+00,    0.60010E+02,    0.00000E+00
    0.50000E+00,    0.60000E+02,    0.00000E+00
    0.10000E+01,    0.59960E+02,    0.00000E+00
    0.14900E+01,    0.59900E+02,    0.00000E+00
    0.19800E+01,    0.59810E+02,    0.00000E+00
    0.24700E+01,    0.59700E+02,    0.00000E+00
    0.29500E+01,    0.59570E+02,    0.00000E+00
    0.34200E+01,    0.59410E+02,    0.00000E+00
    0.38900E+01,    0.59220E+02,    0.00000E+00
    0.43400E+01,    0.59020E+02,    0.00000E+00
    0.47900E+01,    0.58790E+02,    0.00000E+00
    0.52200E+01,    0.58540E+02,    0.00000E+00
    0.56400E+01,    0.58270E+02,    0.00000E+00
    0.60400E+01,    0.57980E+02,    0.00000E+00
    0.64300E+01,    0.57670E+02,    0.00000E+00
    0.68100E+01,    0.57340E+02,    0.11376E+08
    0.71700E+01,    0.56990E+02,    0.33233E+08
    0.75100E+01,    0.56620E+02,    0.50559E+08
    0.78300E+01,    0.56240E+02,    0.68966E+08
    0.81300E+01,    0.55840E+02,    0.84024E+08
    0.84100E+01,    0.55430E+02,    0.99365E+08
    0.86700E+01,    0.55010E+02,    0.11898E+09
    0.89100E+01,    0.54570E+02,    0.13047E+09
    0.91200E+01,    0.54120E+02,    0.13730E+09
    0.93200E+01,    0.53660E+02,    0.14390E+09
    0.94900E+01,    0.53190E+02,    0.14884E+09
    0.96400E+01,    0.52710E+02,    0.14900E+09
    0.97600E+01,    0.52230E+02,    0.14551E+09
    0.98600E+01,    0.51740E+02,    0.14075E+09
    0.99300E+01,    0.51240E+02,    0.13506E+09
    0.99800E+01,    0.50750E+02,    0.12832E+09
    0.10010E+02,    0.50250E+02,    0.11974E+09
    0.10010E+02,    0.49750E+02,    0.10988E+09
    0.99800E+01,    0.49250E+02,    0.10011E+09
    0.99300E+01,    0.48760E+02,    0.91190E+08
    0.98600E+01,    0.48260E+02,    0.82386E+08
    0.97600E+01,    0.47770E+02,    0.74016E+08
    0.96400E+01,    0.47290E+02,    0.66621E+08
    0.94900E+01,    0.46810E+02,    0.59624E+08
    0.93200E+01,    0.46340E+02,    0.54682E+08
    0.91200E+01,    0.45880E+02,    0.51175E+08
    0.89100E+01,    0.45430E+02,    0.47158E+08
    0.86700E+01,    0.44990E+02,    0.44013E+08
    0.84100E+01,    0.44570E+02,    0.43892E+08
    0.81300E+01,    0.44160E+02,    0.43838E+08
    0.78300E+01,    0.43760E+02,    0.43499E+08
    0.75100E+01,    0.43380E+02,    0.44580E+08
    0.71700E+01,    0.43010E+02,    0.45511E+08
    0.68100E+01,    0.42660E+02,    0.48309E+08
    0.64300E+01,    0.42330E+02,    0.55310E+08
    0.60400E+01,    0.42020E+02,    0.60743E+08
    0.56400E+01,    0.41730E+02,    0.66261E+08
    0.52200E+01,    0.41460E+02,    0.77416E+08
    0.47900E+01,    0.41210E+02,    0.10164E+09
    0.43400E+01,    0.40980E+02,    0.13983E+09
    0.38900E+01,    0.40780E+02,    0.19179E+09
    0.34200E+01,    0.40590E+02,    0.26847E+09
    0.29500E+01,    0.40430E+02,    0.36438E+09
    0.24700E+01,    0.40300E+02,    0.45688E+09
    0.19800E+01,    0.40190E+02,    0.54698E+09
    0.14900E+01,    0.40100E+02,    0.60481E+09
    0.10000E+01,    0.40040E+02,    0.59805E+09
    0.50000E+00,    0.40000E+02,    0.55235E+09
    0.00000E+00,    0.39990E+02,    0.48775E+09
    0.00000E+00,    0.37990E+02,    0.16322E+09
    0.00000E+00,    0.35990E+02,    0.91168E+08
    0.00000E+00,    0.33990E+02,    0.78590E+08
