 X,    Y,   COH  
    0.00000E+00,    0.10000E+03,    0.60200E+02
    0.00000E+00,    0.98000E+02,    0.57919E+02
    0.00000E+00,    0.96000E+02,    0.58493E+02
    0.00000E+00,    0.94000E+02,    0.58170E+02
    0.00000E+00,    0.92000E+02,    0.57507E+02
    0.00000E+00,    0.90000E+02,    0.56689E+02
    0.00000E+00,    0.88000E+02,    0.55611E+02
    0.00000E+00,    0.86000E+02,    0.54254E+02
    0.00000E+00,    0.84000E+02,    0.52414E+02
    0.00000E+00,    0.82000E+02,    0.49966E+02
    0.00000E+00,    0.80000E+02,    0.46763E+02
    0.00000E+00,    0.78010E+02,    0.42725E+02
    0.00000E+00,    0.76010E+02,    0.37774E+02
    0.00000E+00,    0.74010E+02,    0.32038E+02
    0.00000E+00,    0.72010E+02,    0.25847E+02
    0.00000E+00,    0.70010E+02,    0.19753E+02
    0.00000E+00,    0.68010E+02,    0.14270E+02
    0.00000E+00,    0.66010E+02,    0.97165E+01
    0.00000E+00,    0.64010E+02,    0.63098E+01
    0.00000E+00,    0.62010E+02,    0.44249E+01
    0.00000E+00,    0.60010E+02,    0.26892E+01
    0.50000E+00,    0.60000E+02,    0.27172E+01
    0.10000E+01,    0.59960E+02,    0.28564E+01
    0.14900E+01,    0.59900E+02,    0.30195E+01
    0.19800E+01,    0.59810E+02,    0.30990E+01
    0.24700E+01,    0.59700E+02,    0.31815E+01
    0.29500E+01,    0.59570E+02,    0.33003E+01
    0.34200E+01,    0.59410E+02,    0.34936E+01
    0.38900E+01,    0.59220E+02,    0.37628E+01
    0.43400E+01,    0.59020E+02,    0.41128E+01
    0.47900E+01,    0.58790E+02,    0.45930E+01
    0.52200E+01,    0.58540E+02,    0.51911E+01
    0.56400E+01,    0.58270E+02,    0.59336E+01
    0.60400E+01,    0.57980E+02,    0.68327E+01
    0.64300E+01,    0.57670E+02,    0.79634E+01
    0.68100E+01,    0.57340E+02,    0.93553E+01
    0.71700E+01,    0.56990E+02,    0.10971E+02
    0.75100E+01,    0.56620E+02,    0.12839E+02
    0.78300E+01,    0.56240E+02,    0.15150E+02
    0.81300E+01,    0.55840E+02,    0.17826E+02
    0.84100E+01,    0.55430E+02,    0.21014E+02
    0.86700E+01,    0.55010E+02,    0.24624E+02
    0.89100E+01,    0.54570E+02,    0.28956E+02
    0.91200E+01,    0.54120E+02,    0.33583E+02
    0.93200E+01,    0.53660E+02,    0.39523E+02
    0.94900E+01,    0.53190E+02,    0.45969E+02
    0.96400E+01,    0.52710E+02,    0.53469E+02
    0.97600E+01,    0.52230E+02,    0.62697E+02
    0.98600E+01,    0.51740E+02,    0.72287E+02
    0.99300E+01,    0.51240E+02,    0.81962E+02
    0.99800E+01,    0.50750E+02,    0.92063E+02
    0.10010E+02,    0.50250E+02,    0.10357E+03
    0.10010E+02,    0.49750E+02,    0.11617E+03
    0.99800E+01,    0.49250E+02,    0.12882E+03
    0.99300E+01,    0.48760E+02,    0.14103E+03
    0.98600E+01,    0.48260E+02,    0.15425E+03
    0.97600E+01,    0.47770E+02,    0.16808E+03
    0.96400E+01,    0.47290E+02,    0.18141E+03
    0.94900E+01,    0.46810E+02,    0.19534E+03
    0.93200E+01,    0.46340E+02,    0.20922E+03
    0.91200E+01,    0.45880E+02,    0.22396E+03
    0.89100E+01,    0.45430E+02,    0.23239E+03
    0.86700E+01,    0.44990E+02,    0.24213E+03
    0.84100E+01,    0.44570E+02,    0.25279E+03
    0.81300E+01,    0.44160E+02,    0.26842E+03
    0.78300E+01,    0.43760E+02,    0.27725E+03
    0.75100E+01,    0.43380E+02,    0.28576E+03
    0.71700E+01,    0.43010E+02,    0.29238E+03
    0.68100E+01,    0.42660E+02,    0.30004E+03
    0.64300E+01,    0.42330E+02,    0.30781E+03
    0.60400E+01,    0.42020E+02,    0.31013E+03
    0.56400E+01,    0.41730E+02,    0.30502E+03
    0.52200E+01,    0.41460E+02,    0.30800E+03
    0.47900E+01,    0.41210E+02,    0.31062E+03
    0.43400E+01,    0.40980E+02,    0.31215E+03
    0.38900E+01,    0.40780E+02,    0.31138E+03
    0.34200E+01,    0.40590E+02,    0.31046E+03
    0.29500E+01,    0.40430E+02,    0.30818E+03
    0.24700E+01,    0.40300E+02,    0.30521E+03
    0.19800E+01,    0.40190E+02,    0.30208E+03
    0.14900E+01,    0.40100E+02,    0.30139E+03
    0.10000E+01,    0.40040E+02,    0.30921E+03
    0.50000E+00,    0.40000E+02,    0.31045E+03
    0.00000E+00,    0.39990E+02,    0.29171E+03
    0.00000E+00,    0.37990E+02,    0.16061E+03
    0.00000E+00,    0.35990E+02,    0.92349E+02
    0.00000E+00,    0.33990E+02,    0.75791E+02
    0.00000E+00,    0.31990E+02,    0.70156E+02
    0.00000E+00,    0.29990E+02,    0.66826E+02
    0.00000E+00,    0.27990E+02,    0.64899E+02
    0.00000E+00,    0.25990E+02,    0.63594E+02
    0.00000E+00,    0.23990E+02,    0.62710E+02
    0.00000E+00,    0.21990E+02,    0.62066E+02
    0.00000E+00,    0.20000E+02,    0.61601E+02
    0.00000E+00,    0.18000E+02,    0.61234E+02
    0.00000E+00,    0.16000E+02,    0.60953E+02
    0.00000E+00,    0.14000E+02,    0.60730E+02
    0.00000E+00,    0.12000E+02,    0.60559E+02
    0.00000E+00,    0.10000E+02,    0.60407E+02
    0.00000E+00,    0.80000E+01,    0.60324E+02
    0.00000E+00,    0.60000E+01,    0.60233E+02
    0.00000E+00,    0.40000E+01,    0.60164E+02
    0.00000E+00,    0.20000E+01,    0.60156E+02
    0.00000E+00,    0.00000E+00,    0.60200E+02
    0.10000E+02,    0.00000E+00,    0.60200E+02
    0.20000E+02,    0.00000E+00,    0.60200E+02
    0.30000E+02,    0.00000E+00,    0.60200E+02
    0.40000E+02,    0.00000E+00,    0.60200E+02
    0.50000E+02,    0.00000E+00,    0.60200E+02
    0.50000E+02,    0.90900E+01,    0.60141E+02
    0.50000E+02,    0.18180E+02,    0.60020E+02
    0.50000E+02,    0.27270E+02,    0.59802E+02
    0.50000E+02,    0.36360E+02,    0.59613E+02
    0.50000E+02,    0.45450E+02,    0.59600E+02
    0.50000E+02,    0.54550E+02,    0.59824E+02
    0.50000E+02,    0.63640E+02,    0.60287E+02
    0.50000E+02,    0.72730E+02,    0.60635E+02
    0.50000E+02,    0.81820E+02,    0.60751E+02
    0.50000E+02,    0.90910E+02,    0.60857E+02
    0.50000E+02,    0.10000E+03,    0.60200E+02
    0.40000E+02,    0.10000E+03,    0.60200E+02
    0.30000E+02,    0.10000E+03,    0.60200E+02
    0.20000E+02,    0.10000E+03,    0.60200E+02
    0.10000E+02,    0.10000E+03,    0.60200E+02
    0.74800E+01,    0.93610E+02,    0.59535E+02
    0.33500E+01,    0.94260E+02,    0.58282E+02
    0.25900E+01,    0.93180E+02,    0.58113E+02
    0.22900E+01,    0.91640E+02,    0.57731E+02
    0.24900E+01,    0.89890E+02,    0.57088E+02
    0.23200E+01,    0.87770E+02,    0.56088E+02
    0.21700E+01,    0.85770E+02,    0.54806E+02
    0.20400E+01,    0.83820E+02,    0.53138E+02
    0.20100E+01,    0.81910E+02,    0.51002E+02
    0.20100E+01,    0.79960E+02,    0.48253E+02
    0.20200E+01,    0.78000E+02,    0.44736E+02
    0.20400E+01,    0.76000E+02,    0.40338E+02
    0.20600E+01,    0.74000E+02,    0.35095E+02
    0.20800E+01,    0.71970E+02,    0.29150E+02
    0.21000E+01,    0.69940E+02,    0.22970E+02
    0.21300E+01,    0.67880E+02,    0.17137E+02
    0.21700E+01,    0.65750E+02,    0.12113E+02
    0.22800E+01,    0.63340E+02,    0.79466E+01
    0.14700E+01,    0.61230E+02,    0.38904E+01
    0.13900E+01,    0.60510E+02,    0.33346E+01
    0.17100E+01,    0.60340E+02,    0.33034E+01
    0.21500E+01,    0.60230E+02,    0.33887E+01
    0.26400E+01,    0.60180E+02,    0.36109E+01
    0.30900E+01,    0.59980E+02,    0.37431E+01
    0.35700E+01,    0.59840E+02,    0.40977E+01
    0.40700E+01,    0.59740E+02,    0.47056E+01
    0.45400E+01,    0.59450E+02,    0.51531E+01
    0.50300E+01,    0.59180E+02,    0.59636E+01
    0.55000E+01,    0.58880E+02,    0.69447E+01
    0.58700E+01,    0.58570E+02,    0.77788E+01
    0.62500E+01,    0.58310E+02,    0.91208E+01
    0.66700E+01,    0.58030E+02,    0.11079E+02
    0.70700E+01,    0.57710E+02,    0.13352E+02
    0.74400E+01,    0.57380E+02,    0.15928E+02
    0.78000E+01,    0.57050E+02,    0.19119E+02
    0.81900E+01,    0.56730E+02,    0.23787E+02
    0.86000E+01,    0.56360E+02,    0.29878E+02
    0.90800E+01,    0.55870E+02,    0.38593E+02
    0.91900E+01,    0.55260E+02,    0.39397E+02
    0.93800E+01,    0.54770E+02,    0.43272E+02
    0.95700E+01,    0.54290E+02,    0.48125E+02
    0.97500E+01,    0.53820E+02,    0.53833E+02
    0.99200E+01,    0.53360E+02,    0.60063E+02
    0.10110E+02,    0.52930E+02,    0.67369E+02
    0.10430E+02,    0.52500E+02,    0.77106E+02
    0.10510E+02,    0.51860E+02,    0.83223E+02
    0.10560E+02,    0.51280E+02,    0.89101E+02
    0.10580E+02,    0.50740E+02,    0.94797E+02
    0.10570E+02,    0.50210E+02,    0.10032E+03
    0.10550E+02,    0.49690E+02,    0.10541E+03
    0.10510E+02,    0.49180E+02,    0.11041E+03
    0.10450E+02,    0.48670E+02,    0.11536E+03
    0.10380E+02,    0.48160E+02,    0.11901E+03
    0.10290E+02,    0.47650E+02,    0.12183E+03
    0.10170E+02,    0.47130E+02,    0.12446E+03
    0.10020E+02,    0.46610E+02,    0.12675E+03
    0.98400E+01,    0.46090E+02,    0.12943E+03
    0.95800E+01,    0.45670E+02,    0.14220E+03
    0.94000E+01,    0.45220E+02,    0.14141E+03
    0.92000E+01,    0.44710E+02,    0.13701E+03
    0.89500E+01,    0.44120E+02,    0.12925E+03
    0.85000E+01,    0.43800E+02,    0.16146E+03
    0.81700E+01,    0.43440E+02,    0.17389E+03
    0.78400E+01,    0.43070E+02,    0.18274E+03
    0.74900E+01,    0.42690E+02,    0.18955E+03
    0.71300E+01,    0.42340E+02,    0.19787E+03
    0.67600E+01,    0.42000E+02,    0.20420E+03
    0.64200E+01,    0.41650E+02,    0.20147E+03
    0.61200E+01,    0.41190E+02,    0.18039E+03
    0.55300E+01,    0.40880E+02,    0.20126E+03
    0.50000E+01,    0.40600E+02,    0.21379E+03
    0.44700E+01,    0.40390E+02,    0.22977E+03
    0.39800E+01,    0.40110E+02,    0.22905E+03
    0.35000E+01,    0.40070E+02,    0.25091E+03
    0.30300E+01,    0.39950E+02,    0.25994E+03
    0.25800E+01,    0.39750E+02,    0.25585E+03
    0.21100E+01,    0.39720E+02,    0.26560E+03
    0.16800E+01,    0.39630E+02,    0.26524E+03
    0.13600E+01,    0.39460E+02,    0.25417E+03
    0.13900E+01,    0.38710E+02,    0.19108E+03
    0.20200E+01,    0.36550E+02,    0.90207E+02
    0.19500E+01,    0.34220E+02,    0.75624E+02
    0.19700E+01,    0.32140E+02,    0.69707E+02
    0.20300E+01,    0.30110E+02,    0.66575E+02
    0.20600E+01,    0.28060E+02,    0.64683E+02
    0.20500E+01,    0.26030E+02,    0.63451E+02
    0.20500E+01,    0.24010E+02,    0.62599E+02
    0.20300E+01,    0.22000E+02,    0.62003E+02
    0.20300E+01,    0.20020E+02,    0.61557E+02
    0.20200E+01,    0.18020E+02,    0.61216E+02
    0.20400E+01,    0.16070E+02,    0.60944E+02
    0.20900E+01,    0.14060E+02,    0.60724E+02
    0.21800E+01,    0.12040E+02,    0.60550E+02
    0.22600E+01,    0.99500E+01,    0.60425E+02
    0.20900E+01,    0.82700E+01,    0.60315E+02
    0.23900E+01,    0.67800E+01,    0.60281E+02
    0.31200E+01,    0.57300E+01,    0.60261E+02
    0.69700E+01,    0.63700E+01,    0.60293E+02
    0.17790E+02,    0.96500E+01,    0.60254E+02
    0.28170E+02,    0.93600E+01,    0.60177E+02
    0.38550E+02,    0.10610E+02,    0.60168E+02
    0.40750E+02,    0.19280E+02,    0.60049E+02
    0.40580E+02,    0.28190E+02,    0.59952E+02
    0.40800E+02,    0.36670E+02,    0.59915E+02
    0.41780E+02,    0.44870E+02,    0.59895E+02
    0.41340E+02,    0.53300E+02,    0.60079E+02
    0.40710E+02,    0.62540E+02,    0.60337E+02
    0.41260E+02,    0.71900E+02,    0.60557E+02
    0.40920E+02,    0.80550E+02,    0.60540E+02
    0.38650E+02,    0.89370E+02,    0.60431E+02
    0.28400E+02,    0.90830E+02,    0.60370E+02
    0.18530E+02,    0.91200E+02,    0.59944E+02
    0.37810E+02,    0.46200E+02,    0.59754E+02
    0.35150E+02,    0.46520E+02,    0.59636E+02
