 X,    Y,   V  
    0.00000E+00,    0.10000E+03,    0.50000E+01
    0.00000E+00,    0.98000E+02,    0.49018E+01
    0.00000E+00,    0.96000E+02,    0.48034E+01
    0.00000E+00,    0.94000E+02,    0.47052E+01
    0.00000E+00,    0.92000E+02,    0.46070E+01
    0.00000E+00,    0.90000E+02,    0.45089E+01
    0.00000E+00,    0.88000E+02,    0.44111E+01
    0.00000E+00,    0.86000E+02,    0.43134E+01
    0.00000E+00,    0.84000E+02,    0.42161E+01
    0.00000E+00,    0.82000E+02,    0.41192E+01
    0.00000E+00,    0.80000E+02,    0.40228E+01
    0.00000E+00,    0.78010E+02,    0.39275E+01
    0.00000E+00,    0.76010E+02,    0.38327E+01
    0.00000E+00,    0.74010E+02,    0.37392E+01
    0.00000E+00,    0.72010E+02,    0.36474E+01
    0.00000E+00,    0.70010E+02,    0.35581E+01
    0.00000E+00,    0.68010E+02,    0.34724E+01
    0.00000E+00,    0.66010E+02,    0.33925E+01
    0.00000E+00,    0.64010E+02,    0.33231E+01
    0.00000E+00,    0.62010E+02,    0.32647E+01
    0.00000E+00,    0.60010E+02,    0.32300E+01
    0.50000E+00,    0.60000E+02,    0.32330E+01
    0.10000E+01,    0.59960E+02,    0.32322E+01
    0.14900E+01,    0.59900E+02,    0.32283E+01
    0.19800E+01,    0.59810E+02,    0.32220E+01
    0.24700E+01,    0.59700E+02,    0.32139E+01
    0.29500E+01,    0.59570E+02,    0.32042E+01
    0.34200E+01,    0.59410E+02,    0.31926E+01
    0.38900E+01,    0.59220E+02,    0.31791E+01
    0.43400E+01,    0.59020E+02,    0.31644E+01
    0.47900E+01,    0.58790E+02,    0.31477E+01
    0.52200E+01,    0.58540E+02,    0.31295E+01
    0.56400E+01,    0.58270E+02,    0.31097E+01
    0.60400E+01,    0.57980E+02,    0.30881E+01
    0.64300E+01,    0.57670E+02,    0.30653E+01
    0.68100E+01,    0.57340E+02,    0.30410E+01
    0.71700E+01,    0.56990E+02,    0.30151E+01
    0.75100E+01,    0.56620E+02,    0.29878E+01
    0.78300E+01,    0.56240E+02,    0.29597E+01
