  x,     y,    camp
    0.25000E+00,    0.60000E+02,    0.71435E+02
    0.75000E+00,    0.59975E+02,    0.71767E+02
    0.12450E+01,    0.59925E+02,    0.71842E+02
    0.17350E+01,    0.59850E+02,    0.71993E+02
    0.22250E+01,    0.59750E+02,    0.71851E+02
    0.27100E+01,    0.59630E+02,    0.71735E+02
    0.31850E+01,    0.59485E+02,    0.72053E+02
    0.36525E+01,    0.59310E+02,    0.60717E+02
    0.41125E+01,    0.59115E+02,    0.59382E+02
    0.45625E+01,    0.58900E+02,    0.58211E+02
    0.50000E+01,    0.58660E+02,    0.45656E+02
    0.54250E+01,    0.58400E+02,    0.43820E+02
    0.58375E+01,    0.58120E+02,    0.54157E+02
    0.62350E+01,    0.57820E+02,    0.71934E+02
    0.66175E+01,    0.57500E+02,    0.51696E+02
    0.69850E+01,    0.57160E+02,    0.36485E+02
    0.73350E+01,    0.56803E+02,    0.47136E+02
    0.76650E+01,    0.56428E+02,    0.43900E+02
    0.79750E+01,    0.56038E+02,    0.40455E+02
    0.82650E+01,    0.55635E+02,    0.49083E+02
    0.85350E+01,    0.55218E+02,    0.34434E+02
    0.87850E+01,    0.54785E+02,    0.25379E+02
    0.90125E+01,    0.54340E+02,    0.38404E+02
    0.92175E+01,    0.53885E+02,    0.36787E+02
    0.94000E+01,    0.53420E+02,    0.19227E+02
    0.95600E+01,    0.52948E+02,    0.19263E+02
    0.96950E+01,    0.52470E+02,    0.18313E+02
    0.98050E+01,    0.51985E+02,    0.14557E+02
    0.98900E+01,    0.51490E+02,    0.10804E+02
    0.99500E+01,    0.50995E+02,    0.71957E+01
    0.99900E+01,    0.50500E+02,    0.36176E+01
    0.10005E+02,    0.50000E+02,    0.37954E-01
    0.99900E+01,    0.49500E+02,    0.36193E+01
    0.99500E+01,    0.49005E+02,    0.71987E+01
    0.98900E+01,    0.48510E+02,    0.10807E+02
    0.98050E+01,    0.48015E+02,    0.14557E+02
    0.96950E+01,    0.47530E+02,    0.18307E+02
    0.95600E+01,    0.47053E+02,    0.19257E+02
    0.94000E+01,    0.46580E+02,    0.19226E+02
    0.92175E+01,    0.46115E+02,    0.36793E+02
    0.90125E+01,    0.45660E+02,    0.38409E+02
    0.87850E+01,    0.45215E+02,    0.25376E+02
    0.85350E+01,    0.44782E+02,    0.34438E+02
    0.82650E+01,    0.44365E+02,    0.49095E+02
    0.79750E+01,    0.43962E+02,    0.40455E+02
    0.76650E+01,    0.43572E+02,    0.43890E+02
    0.73350E+01,    0.43197E+02,    0.47124E+02
    0.69850E+01,    0.42840E+02,    0.36480E+02
    0.66175E+01,    0.42500E+02,    0.51693E+02
    0.62350E+01,    0.42180E+02,    0.71923E+02
    0.58375E+01,    0.41880E+02,    0.54126E+02
    0.54250E+01,    0.41600E+02,    0.43791E+02
    0.50000E+01,    0.41340E+02,    0.45646E+02
    0.45625E+01,    0.41100E+02,    0.58217E+02
    0.41125E+01,    0.40885E+02,    0.59397E+02
    0.36525E+01,    0.40690E+02,    0.60740E+02
    0.31850E+01,    0.40515E+02,    0.72082E+02
    0.27100E+01,    0.40370E+02,    0.71762E+02
    0.22250E+01,    0.40250E+02,    0.71880E+02
    0.17350E+01,    0.40150E+02,    0.72024E+02
    0.12450E+01,    0.40075E+02,    0.71869E+02
    0.75000E+00,    0.40025E+02,    0.71785E+02
    0.25000E+00,    0.40000E+02,    0.71461E+02
