  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.69573E-01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.69772E-01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.16903E-01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.21411E-01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.14931E-01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.27097E-01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.22516E-01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.20417E-01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.34494E-01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.20144E-01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.37133E-01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.20295E-01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.19511E-01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.22412E-01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.15791E-01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.17085E-01
    0.40932E+01,    0.83456E+00,    0.00000E+00,    0.15345E-01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.16332E-01
    0.47501E+01,    0.32330E+01,    0.00000E+00,    0.25661E-02
    0.41375E+01,    0.34091E+01,    0.00000E+00,    0.26886E-02
    0.45003E+01,    0.34661E+01,    0.00000E+00,    0.23303E-02
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.16816E-01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.15201E-01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.16163E-01
    0.30478E+01,    0.43338E+00,    0.00000E+00,    0.16448E-01
    0.46937E+01,    0.30047E+01,    0.00000E+00,    0.33909E-02
    0.48979E+01,    0.27793E+01,    0.00000E+00,    0.37912E-02
    0.42383E+01,    0.29310E+01,    0.00000E+00,    0.36107E-02
    0.44738E+01,    0.29441E+01,    0.00000E+00,    0.29518E-02
    0.40893E+01,    0.26442E+01,    0.00000E+00,    0.38209E-02
    0.45603E+01,    0.26705E+01,    0.00000E+00,    0.43360E-02
    0.47645E+01,    0.20702E+01,    0.00000E+00,    0.58084E-02
    0.45290E+01,    0.21403E+01,    0.00000E+00,    0.62923E-02
    0.47801E+01,    0.25644E+01,    0.00000E+00,    0.40586E-02
    0.35820E+01,    0.12977E+01,    0.00000E+00,    0.95339E-02
    0.37018E+01,    0.14904E+01,    0.00000E+00,    0.96906E-02
    0.38071E+01,    0.11963E+01,    0.00000E+00,    0.10774E-01
    0.39269E+01,    0.13890E+01,    0.00000E+00,    0.10938E-01
    0.30059E+01,    0.99943E+00,    0.00000E+00,    0.13692E-01
    0.27435E+01,    0.82372E+00,    0.00000E+00,    0.16107E-01
    0.26360E+01,    0.12356E+01,    0.00000E+00,    0.13069E-01
    0.24861E+01,    0.10092E+01,    0.00000E+00,    0.15296E-01
    0.33478E+01,    0.44517E+00,    0.00000E+00,    0.15173E-01
    0.18117E+00,    0.17368E+01,    0.00000E+00,    0.37081E-01
    0.90585E-01,    0.12851E+01,    0.00000E+00,    0.78064E-01
    0.27175E+00,    0.15219E+01,    0.00000E+00,    0.47968E-01
    0.17392E+00,    0.10351E+01,    0.00000E+00,    0.90663E-01
    0.57220E+00,    0.14362E+01,    0.00000E+00,    0.41943E-01
    0.34436E+01,    0.62088E+00,    0.00000E+00,    0.14003E-01
    0.34269E+01,    0.84730E+00,    0.00000E+00,    0.14186E-01
