tita, campo[?]
0.093548, 1.607600e-18
0.093598, 1.503500e-18
0.093902, 1.624100e-18
0.093939, 1.516200e-18
0.157401, 1.533200e-18
0.157456, 1.588000e-18
0.182117, 1.553000e-18
0.182936, 1.568800e-18
0.210855, 1.501900e-18
0.211012, 1.625500e-18
0.250986, 1.517100e-18
0.251376, 1.605400e-18
0.339563, 1.544900e-18
0.340352, 1.577400e-18
0.402736, 1.627100e-18
0.404652, 1.500200e-18
0.443071, 1.603500e-18
0.444833, 1.518900e-18
0.543404, 1.625900e-18
0.545256, 1.500200e-18
0.646004, 1.605800e-18
0.647077, 1.516500e-18
0.658686, 1.547000e-18
0.665121, 1.575300e-18
0.711920, 1.628700e-18
0.723467, 1.497200e-18
0.771953, 1.528300e-18
0.774502, 1.612200e-18
0.779552, 1.594900e-18
0.784837, 1.510700e-18
0.871758, 1.627300e-18
0.881198, 1.498100e-18
0.916933, 1.547200e-18
0.922829, 1.575400e-18
0.963701, 1.610900e-18
0.990759, 1.510800e-18
1.018535, 1.628500e-18
1.046238, 1.495700e-18
1.047322, 1.530500e-18
1.068394, 1.591600e-18
1.124639, 1.611700e-18
1.127721, 1.511700e-18
1.201405, 1.625900e-18
1.219750, 1.498600e-18
1.244126, 1.553000e-18
1.261179, 1.528500e-18
1.262359, 1.568400e-18
1.293578, 1.594900e-18
1.294967, 1.609900e-18
1.316868, 1.626400e-18
1.344311, 1.514100e-18
1.380603, 1.496000e-18
1.461923, 1.612100e-18
1.484378, 1.626600e-18
1.521927, 1.532300e-18
1.524500, 1.511000e-18
1.532227, 1.546500e-18
1.544330, 1.573100e-18
1.567192, 1.498600e-18
1.600821, 1.589600e-18
1.603017, 1.625400e-18
1.627212, 1.611400e-18
1.714845, 1.512600e-18
1.721203, 1.495900e-18
1.779025, 1.628000e-18
1.789468, 1.526900e-18
1.816808, 1.549900e-18
1.825504, 1.609700e-18
1.833962, 1.568000e-18
1.859286, 1.594600e-18
1.903915, 1.508600e-18
1.911810, 1.498400e-18
1.934007, 1.626500e-18
1.980818, 1.524600e-18
2.019378, 1.611000e-18
2.027310, 1.501300e-18
2.089861, 1.544000e-18
2.090488, 1.628100e-18
2.095127, 1.572000e-18
2.145409, 1.589300e-18
2.182901, 1.611500e-18
2.183484, 1.501100e-18
2.225815, 1.524500e-18
2.265808, 1.625100e-18
2.302349, 1.498000e-18
2.304727, 1.507900e-18
2.366994, 1.567900e-18
2.389444, 1.548800e-18
2.392129, 1.593700e-18
2.396890, 1.608600e-18
2.408729, 1.627900e-18
2.430827, 1.525300e-18
2.486641, 1.494900e-18
2.490829, 1.511700e-18
2.574469, 1.612900e-18
2.604007, 1.625900e-18
2.606446, 1.573000e-18
2.634240, 1.547500e-18
2.645279, 1.497100e-18
2.670057, 1.587100e-18
2.686684, 1.508900e-18
2.703683, 1.623000e-18
2.705560, 1.529700e-18
2.711429, 1.607800e-18
2.825348, 1.493900e-18
2.862241, 1.509600e-18
2.874660, 1.624700e-18
2.910054, 1.551400e-18
2.917558, 1.567600e-18
2.919856, 1.605100e-18
2.956131, 1.590800e-18
2.978445, 1.523600e-18
2.992338, 1.496500e-18
3.009039, 1.624400e-18
3.062621, 1.540400e-18
3.085990, 1.506800e-18
3.097398, 1.560400e-18
3.108839, 1.608100e-18
3.165697, 1.494600e-18
3.182672, 1.517400e-18
3.186220, 1.587800e-18
3.191063, 1.627000e-18
3.245793, 1.609700e-18
3.337470, 1.497800e-18
3.346086, 1.624700e-18
3.358308, 1.563000e-18
3.360833, 1.536500e-18
3.426581, 1.589400e-18
3.452378, 1.610800e-18
3.472984, 1.515900e-18
3.510160, 1.494600e-18
3.515026, 1.626700e-18
3.556258, 1.602300e-18
3.567499, 1.536400e-18
3.579703, 1.558100e-18
3.597728, 1.582300e-18
3.603279, 1.510000e-18
3.684525, 1.623400e-18
3.688314, 1.496200e-18
3.749324, 1.602300e-18
3.838269, 1.531900e-18
3.838870, 1.513200e-18
3.852822, 1.559200e-18
3.855767, 1.626300e-18
3.862318, 1.493300e-18
3.869006, 1.608600e-18
3.889123, 1.576700e-18
3.911704, 1.598200e-18
4.038533, 1.622700e-18
4.041201, 1.495600e-18
4.043835, 1.612600e-18
4.060290, 1.509900e-18
4.082091, 1.533500e-18
4.086328, 1.594600e-18
4.106294, 1.553200e-18
4.123942, 1.578300e-18
4.209598, 1.609100e-18
4.212474, 1.492400e-18
4.217408, 1.625900e-18
4.255282, 1.510000e-18
4.272429, 1.595800e-18
4.354246, 1.528400e-18
4.355172, 1.608000e-18
4.363563, 1.555100e-18
4.390167, 1.494500e-18
4.397942, 1.621900e-18
4.403603, 1.572400e-18
4.433664, 1.593900e-18
4.483416, 1.508900e-18
4.545534, 1.605700e-18
4.557494, 1.491800e-18
4.564810, 1.624900e-18
4.610605, 1.531800e-18
4.624893, 1.549600e-18
4.630473, 1.610700e-18
4.636878, 1.591000e-18
4.646807, 1.574000e-18
4.646904, 1.508700e-18
4.737677, 1.621700e-18
4.737892, 1.494300e-18
4.840443, 1.608800e-18
4.843787, 1.593900e-18
4.870954, 1.526800e-18
4.875259, 1.551800e-18
4.892360, 1.624000e-18
4.895769, 1.568600e-18
4.899820, 1.511600e-18
4.916576, 1.491100e-18
4.962396, 1.588500e-18
