tita, itv [V]
0.000000, 1.467760e-01
2.856541, 1.474220e-01
5.714868, 1.473150e-01
8.569995, 1.465890e-01
11.425638, 1.453510e-01
14.287000, 1.437360e-01
17.143368, 1.417110e-01
19.999256, 1.393320e-01
22.855605, 1.366290e-01
25.714541, 1.336390e-01
28.572517, 1.302720e-01
31.427936, 1.265510e-01
34.285049, 1.225150e-01
37.143712, 1.182400e-01
40.001398, 1.136280e-01
42.856867, 1.087170e-01
45.714920, 1.035630e-01
48.572671, 9.814000e-02
51.427415, 9.248600e-02
54.286186, 8.655900e-02
57.143276, 8.045900e-02
60.001471, 7.415000e-02
62.858552, 6.767200e-02
65.714143, 6.102400e-02
68.573019, 5.419700e-02
71.429193, 4.724100e-02
74.285934, 4.017900e-02
77.144065, 3.300400e-02
80.002307, 2.575200e-02
82.858287, 1.844300e-02
85.714203, 1.108900e-02
88.573558, 3.686000e-03
91.426442, -3.702000e-03
94.285797, -1.110400e-02
97.141713, -1.845500e-02
99.997693, -2.576200e-02
102.855935, -3.301500e-02
105.714066, -4.019700e-02
108.570807, -4.726000e-02
111.426981, -5.419000e-02
114.285857, -6.099700e-02
117.141448, -6.766100e-02
119.998529, -7.416000e-02
122.856724, -8.046600e-02
125.713814, -8.658600e-02
128.572585, -9.246600e-02
131.427329, -9.812600e-02
134.285080, -1.035620e-01
137.143133, -1.086950e-01
139.998602, -1.136070e-01
142.856288, -1.182390e-01
145.714951, -1.225650e-01
148.572064, -1.265050e-01
151.427483, -1.302230e-01
154.285459, -1.336060e-01
157.144395, -1.366540e-01
160.000744, -1.393600e-01
162.856632, -1.417030e-01
165.713000, -1.437020e-01
168.574362, -1.453350e-01
171.430005, -1.465820e-01
174.285132, -1.473320e-01
177.143459, -1.473780e-01
180.000000, -1.468130e-01
