tita [grados], phi [V]
0.0, 0.49992
0.0, 0.34979
0.703022961545, 0.49992
0.703039596092, 0.34981
1.40622849119, 0.34985
1.40625613432, 0.49992
2.10946834073, 0.34991
2.10948770493, 0.49992
2.81243393265, 0.34999
2.81250586287, 0.49992
3.51541547129, 0.3501
3.51549136592, 0.49992
4.21859253702, 0.35022
4.2186849421, 0.49992
4.92193190953, 0.49992
4.92224019741, 0.35037
5.62490622532, 0.49992
5.62518577216, 0.35055
6.32816744818, 0.49992
6.32828606446, 0.35074
7.03089745784, 0.49992
7.03140507802, 0.35096
7.73419400443, 0.49992
7.73450046582, 0.35119
8.43727563354, 0.49992
8.43736055147, 0.35146
9.14030052177, 0.49992
9.14104135359, 0.35174
9.84354032026, 0.49992
9.84407571182, 0.35205
10.5467832118, 0.49993
10.5470844045, 0.35238
11.2498173735, 0.49993
11.2498558346, 0.35273
11.9525679934, 0.35311
11.9528245728, 0.49993
12.65381071, 0.35351
12.6566193803, 0.49993
13.3522828177, 0.35392
13.3598699523, 0.49993
14.0629251129, 0.49993
14.0629361189, 0.35437
14.7651181183, 0.49993
14.7722411205, 0.35485
15.4683987098, 0.49993
15.4707714996, 0.35532
15.8001742563, 0.4273
16.1722690991, 0.49993
16.1725949893, 0.35582
16.8752947903, 0.35635
16.8754144364, 0.49993
17.575947077, 0.3569
17.5780880665, 0.49993
18.2816972177, 0.35747
18.2821575398, 0.49993
18.9844309499, 0.49993
18.9874452357, 0.35806
19.6867927953, 0.35868
19.6883585069, 0.49993
20.3904167773, 0.35932
20.3911709453, 0.49993
21.0941728894, 0.49993
21.0943060609, 0.35997
21.7966206133, 0.49993
21.7966681155, 0.36064
22.4993695478, 0.49993
22.5003839092, 0.36134
23.198364754, 0.49993
23.2029117882, 0.36207
23.905622907, 0.36281
23.9070879062, 0.49993
24.6083059133, 0.36356
24.6157934622, 0.49993
25.3124918473, 0.49993
25.3131748684, 0.36435
26.0103361836, 0.36515
26.0150540124, 0.49994
26.7178067539, 0.49994
26.7183288283, 0.36597
27.4231779395, 0.49994
27.4263060228, 0.36681
28.1257392318, 0.49994
28.1260472271, 0.36768
28.8271131992, 0.49994
28.8286926217, 0.36856
29.5319674181, 0.49994
29.5320349117, 0.36945
30.2339967189, 0.49994
30.2348716324, 0.37036
30.9374884365, 0.37131
30.9382078909, 0.49994
31.639451367, 0.49994
31.6395814978, 0.37228
32.3438927711, 0.49994
32.3448866096, 0.37325
33.0476549827, 0.37424
33.0478933597, 0.49994
33.7490216276, 0.49994
33.74969718, 0.37526
34.4530335833, 0.49994
34.4546332109, 0.3763
35.1565889167, 0.37735
35.1572995036, 0.49994
35.8585054753, 0.37841
35.858713868, 0.49994
36.5627890666, 0.49995
36.5640071834, 0.37951
37.2639431163, 0.49995
37.2661859337, 0.38063
37.9685488241, 0.38174
37.9692345139, 0.49995
38.6705480578, 0.49995
38.6708848165, 0.38288
39.3752345054, 0.49995
39.3765816901, 0.38405
40.0776513565, 0.49995
40.0796169347, 0.38524
40.779595968, 0.38643
40.7806992584, 0.49995
41.4828037249, 0.38763
41.483294335, 0.49995
42.1856638642, 0.49995
42.1858094204, 0.38887
42.8903022562, 0.49995
42.8910806399, 0.39012
43.592702854, 0.39137
43.5947751992, 0.49995
44.2957020753, 0.49995
44.2978318201, 0.39264
44.9991977516, 0.39395
45.0004051434, 0.49996
45.7029607323, 0.39527
45.7039176225, 0.49996
46.4073562743, 0.39658
46.4076557092, 0.49996
47.107227023, 0.39791
47.1114071409, 0.49996
47.8107142417, 0.49996
47.8114057889, 0.39928
48.5142788997, 0.49996
48.5152678066, 0.40066
49.2176841018, 0.49996
49.2189805475, 0.40203
49.9214716338, 0.49996
49.923078055, 0.40342
50.6246860764, 0.49996
50.6266119904, 0.40484
51.3267225836, 0.40628
51.3289144588, 0.49996
52.0311020614, 0.40771
52.0333772818, 0.49996
52.7333006613, 0.49996
52.7355123739, 0.40916
53.4355220472, 0.41064
53.4375522455, 0.49997
54.138885649, 0.49997
54.1417495007, 0.41214
54.8432738909, 0.41362
54.8454263649, 0.49997
55.5451003782, 0.41512
55.5469664167, 0.49997
56.2485942748, 0.49997
56.2510875513, 0.41665
56.9507520185, 0.4182
56.9530442274, 0.49997
57.6556725467, 0.41974
57.6580441073, 0.49997
58.3578824432, 0.49997
58.3603062768, 0.42129
59.062675805, 0.49997
59.0647495546, 0.42287
59.7634532044, 0.42447
59.7669115555, 0.49997
60.4675370371, 0.42605
60.4710910213, 0.49997
61.1705516427, 0.49998
61.1716310939, 0.42765
61.8748009619, 0.49998
61.8755227788, 0.42927
62.5739171918, 0.4309
62.5799126249, 0.49998
63.2796403261, 0.43253
63.2801386906, 0.49998
63.9852219521, 0.49998
63.9906837073, 0.43418
64.6851914367, 0.49998
64.6890912642, 0.43584
65.3862469972, 0.49998
65.390512695, 0.43752
66.0921309308, 0.43918
66.0946568219, 0.49998
66.7991743095, 0.44085
66.8032907381, 0.49998
67.4991332583, 0.49998
67.5005743826, 0.44256
68.2049757488, 0.49998
68.20554478, 0.44428
68.9054519989, 0.44598
68.9054986574, 0.49998
69.6106469482, 0.44769
69.6115768247, 0.49998
70.3103063176, 0.44943
70.3118741581, 0.49999
71.0147182551, 0.45118
71.0175503104, 0.49999
71.7180174159, 0.49999
71.719914443, 0.45291
72.423924193, 0.49999
72.4252792138, 0.45466
73.1241542942, 0.49999
73.1243270311, 0.45642
73.8256889009, 0.49999
73.8302878962, 0.4582
74.1982625125, 0.47944
74.5310205701, 0.45996
74.5331055502, 0.49999
75.2259682307, 0.46172
75.2348518234, 0.49999
75.9363809822, 0.49999
75.9380276975, 0.46352
76.6409524699, 0.49999
76.6473240692, 0.46534
77.3452626984, 0.46711
77.3457430262, 0.49999
78.0449328042, 0.49999
78.0488623224, 0.46889
78.7495089052, 0.49999
78.7522590583, 0.47071
79.4530069937, 0.5
79.4546929496, 0.47254
80.1568284109, 0.5
80.1573335453, 0.47433
80.8599695657, 0.47614
80.8606490281, 0.5
81.5623897392, 0.47797
81.5642565019, 0.5
82.2628124002, 0.5
82.2654995342, 0.47981
82.9672557775, 0.5
82.968594922, 0.48162
83.6717062168, 0.5
83.6717139355, 0.48344
84.3746448558, 0.48529
84.3759508008, 0.5
85.0768769777, 0.5
