  x,     y,   camp
    0.19697E+02,    0.50385E+01,    0.98770E-02
    0.44508E+02,    0.13291E+02,    0.99599E-02
    0.37175E+02,    0.59576E+01,    0.99373E-02
    0.26864E+02,    0.10996E+02,    0.99168E-02
    0.19704E+02,    0.94945E+02,    0.98769E-02
    0.13177E+02,    0.90006E+02,    0.98392E-02
    0.40075E+01,    0.36568E+01,    0.98077E-02
    0.28028E+01,    0.14987E+02,    0.96988E-02
    0.13166E+02,    0.99732E+01,    0.98394E-02
    0.68103E+01,    0.85915E+01,    0.98224E-02
    0.13745E+02,    0.18419E+02,    0.97637E-02
    0.40075E+01,    0.96343E+02,    0.98076E-02
    0.68147E+01,    0.91404E+02,    0.98223E-02
    0.13772E+02,    0.81529E+02,    0.97637E-02
    0.18910E+02,    0.77368E+02,    0.98434E-02
    0.14124E+02,    0.30230E+02,    0.96330E-02
    0.10957E+02,    0.29072E+02,    0.95424E-02
    0.18298E+02,    0.28454E+02,    0.97954E-02
    0.25463E+02,    0.20083E+02,    0.99053E-02
    0.18875E+02,    0.22571E+02,    0.98439E-02
    0.45907E+02,    0.46020E+02,    0.10057E-01
    0.31825E+02,    0.52613E+02,    0.10142E-01
    0.31351E+02,    0.48276E+02,    0.10175E-01
    0.45017E+02,    0.31306E+02,    0.10013E-01
    0.39526E+02,    0.24605E+02,    0.99884E-02
    0.30791E+02,    0.26359E+02,    0.99779E-02
    0.33971E+02,    0.42634E+02,    0.10068E-01
    0.40924E+02,    0.40668E+02,    0.10077E-01
    0.26454E+02,    0.47417E+02,    0.10207E-01
    0.24795E+02,    0.44694E+02,    0.10327E-01
    0.21332E+02,    0.45558E+02,    0.10313E-01
    0.28072E+01,    0.85009E+02,    0.96988E-02
    0.37167E+02,    0.94096E+02,    0.99373E-02
    0.44500E+02,    0.86763E+02,    0.99599E-02
    0.26863E+02,    0.89040E+02,    0.99166E-02
    0.25474E+02,    0.79940E+02,    0.99055E-02
    0.45907E+02,    0.54035E+02,    0.10056E-01
    0.11900E+01,    0.27461E+02,    0.90961E-02
    0.48774E+01,    0.19012E+02,    0.96539E-02
    0.20747E+01,    0.22474E+02,    0.94806E-02
    0.32647E+01,    0.25310E+02,    0.93028E-02
    0.94641E+01,    0.21062E+02,    0.97001E-02
    0.92734E+01,    0.25890E+02,    0.94136E-02
    0.58767E+01,    0.26677E+02,    0.94167E-02
    0.22830E+01,    0.29504E+02,    0.88910E-02
    0.48951E+01,    0.29435E+02,    0.89292E-02
    0.27790E+02,    0.32619E+02,    0.99834E-02
    0.21885E+02,    0.32226E+02,    0.99706E-02
    0.29571E+02,    0.38157E+02,    0.10126E-01
    0.25292E+02,    0.41077E+02,    0.10097E-01
    0.19909E+02,    0.36090E+02,    0.99435E-02
    0.21535E+02,    0.39403E+02,    0.10211E-01
    0.94949E+01,    0.78894E+02,    0.97000E-02
    0.48921E+01,    0.80975E+02,    0.96541E-02
    0.18357E+02,    0.71460E+02,    0.98008E-02
    0.34504E+02,    0.57834E+02,    0.10065E-01
    0.40984E+02,    0.59546E+02,    0.10074E-01
    0.30855E+02,    0.73840E+02,    0.99753E-02
    0.45077E+02,    0.68852E+02,    0.10013E-01
    0.39577E+02,    0.75607E+02,    0.99876E-02
    0.26960E+02,    0.54665E+02,    0.10236E-01
    0.24016E+02,    0.49982E+02,    0.10403E-01
    0.24048E+02,    0.52893E+02,    0.10316E-01
    0.10930E+01,    0.31118E+02,    0.84801E-02
    0.98008E+01,    0.34833E+02,    0.92647E-02
    0.56418E+01,    0.31343E+02,    0.88204E-02
    0.83075E+01,    0.31768E+02,    0.90706E-02
    0.83667E+01,    0.33722E+02,    0.88391E-02
    0.19318E+02,    0.41562E+02,    0.10215E-01
    0.16883E+02,    0.41422E+02,    0.10254E-01
    0.19612E+02,    0.44099E+02,    0.10553E-01
    0.17329E+02,    0.44926E+02,    0.10508E-01
    0.16048E+02,    0.43533E+02,    0.10701E-01
    0.20849E+01,    0.77517E+02,    0.94809E-02
    0.93064E+01,    0.74055E+02,    0.94131E-02
    0.15429E+02,    0.40385E+02,    0.10341E-01
    0.16680E+02,    0.46485E+02,    0.11040E-01
    0.21951E+02,    0.67653E+02,    0.99719E-02
    0.26093E+02,    0.58758E+02,    0.10124E-01
    0.30128E+02,    0.62190E+02,    0.10113E-01
    0.27885E+02,    0.67461E+02,    0.99855E-02
    0.80630E+00,    0.33708E+02,    0.76740E-02
    0.18993E+01,    0.32581E+02,    0.81065E-02
    0.40506E+01,    0.34338E+02,    0.76660E-02
