tita [grados], phi [V]
0.0, 3.4185e-05
0.0, 0.17515
0.0, 0.33657
2.00709653464, 0.17756
2.81241312957, 0.33684
2.81250586287, 3.428e-05
4.2529419549, 0.18795
5.62490622532, 3.4313e-05
5.62507571976, 0.33747
6.48536385694, 0.18051
8.43727391472, 0.33849
8.43727563354, 3.4353e-05
8.44022616533, 0.18244
10.2734674103, 0.11031
10.4963014924, 0.23894
11.2496652343, 0.33987
11.2498173735, 3.4386e-05
12.7084466801, 0.12949
12.9158766936, 0.25113
14.0629251129, 3.4465e-05
14.0630261679, 0.34164
15.2788807627, 0.18424
16.8753629187, 0.34381
16.8754144364, 3.453e-05
17.6477173803, 0.11406
17.7979934988, 0.24257
19.6875301332, 0.34635
19.6883585069, 3.4651e-05
19.8996484574, 0.16942
21.9559426382, 0.19493
22.499266472, 0.34923
22.4993695478, 3.4781e-05
24.1733187232, 0.11955
24.1974455821, 0.24985
25.312209333, 0.3525
25.3124918473, 3.4945e-05
26.6700286266, 0.18515
28.1254936869, 0.35615
28.1257392318, 3.5112e-05
29.1604405549, 0.12053
29.2073494018, 0.24982
30.9374045291, 0.36008
30.9382078909, 3.5293e-05
31.5516557605, 0.16732
33.0537680957, 0.25585
33.7490216276, 3.5458e-05
33.7505984375, 0.36438
34.5397529253, 0.13116
35.6366384482, 0.2532
36.5627890666, 3.5618e-05
36.563409648, 0.36898
37.3409666451, 0.12799
38.2158940921, 0.25486
39.3752345054, 3.5805e-05
39.3752747695, 0.37394
40.0051180718, 0.13204
40.5812136867, 0.28461
41.9973632588, 0.19437
42.1856638642, 3.6004e-05
42.1889302353, 0.37915
43.5281063366, 0.29085
43.5516203112, 0.11129
45.0, 0.20415
45.0004051434, 3.6224e-05
45.0007366295, 0.38469
46.4589144981, 0.11342
46.4788344935, 0.29503
47.8107142417, 3.6438e-05
47.8132047348, 0.39048
48.016238837, 0.20063
49.4130545263, 0.29889
49.9923859707, 0.13883
50.6246860764, 3.6679e-05
50.6262636106, 0.39656
51.7787605632, 0.27319
52.6584646927, 0.13849
53.4362661376, 0.40285
53.4375522455, 3.6927e-05
54.3533716181, 0.27895
55.4604190194, 0.14621
56.2485942748, 3.7182e-05
56.2512796086, 0.40939
56.9406098029, 0.28932
58.4487381445, 0.19203
59.062675805, 3.7421e-05
59.0630422403, 0.41613
60.7929677155, 0.29356
60.8385894763, 0.14165
61.8748009619, 3.7639e-05
61.8765893514, 0.42309
63.3311964596, 0.22294
64.6851914367, 3.788e-05
64.6880388318, 0.43022
65.8046302833, 0.30804
65.8273633122, 0.1474
67.4983275123, 0.43753
67.4991332583, 3.8123e-05
68.0418361565, 0.24525
70.0981057057, 0.21698
70.3114890291, 0.44501
70.3118741581, 3.8412e-05
72.20098532, 0.31663
72.3514402981, 0.14898
73.1241542942, 3.8706e-05
73.1251355392, 0.4526
74.7195416653, 0.24558
75.9359632869, 0.46032
75.9363809822, 3.9053e-05
77.0867287906, 0.34132
77.2893948697, 0.17615
78.7495089052, 3.9367e-05
78.7503347657, 0.46816
79.5042258726, 0.33062
79.7259855163, 0.15303
81.5627260853, 0.476
81.5642565019, 3.9707e-05
81.5670417683, 0.25633
83.5195120012, 0.25676
84.3759508008, 4.0023e-05
84.37596101, 0.48398
85.7206102696, 0.2728
87.1856628919, 4.0339e-05
87.18623427, 0.49196
87.8663846142, 0.25994
90.0, 4.0644e-05
90.0, 0.15986
90.0, 0.35839
90.0, 0.49999
92.1336153858, 0.26643
92.81376573, 0.50801
92.8143371081, 4.0964e-05
94.2793897304, 0.28642
95.62403899, 0.516
95.6240491992, 4.1275e-05
96.4804879988, 0.2763
98.4329582317, 0.28199
98.4357434981, 4.1583e-05
98.4372739147, 0.52399
100.274014484, 0.17177
100.495774127, 0.37255
101.249665234, 0.53183
101.250491095, 4.1857e-05
102.71060513, 0.20346
102.913271209, 0.39495
104.063619018, 4.2155e-05
104.064036713, 0.53967
105.280458335, 0.29165
106.874864461, 0.54737
106.875845706, 4.2414e-05
107.648559702, 0.18161
107.79901468, 0.3867
109.688125842, 4.2714e-05
109.688510971, 0.55494
109.901894294, 0.2712
111.958163843, 0.31328
112.500866742, 4.3015e-05
112.501672488, 0.56244
114.172636688, 0.1927
114.195369717, 0.40302
115.311961168, 0.56974
115.314808563, 4.3346e-05
116.66880354, 0.29922
118.123410649, 0.57691
118.125199038, 4.366e-05
119.161410524, 0.19504
119.207032284, 0.40455
120.93695776, 0.58383
120.937324195, 4.3973e-05
121.551261855, 0.27106
123.059390197, 0.41439
123.748720391, 0.5906
123.751405725, 4.4257e-05
124.539580981, 0.21228
125.646628382, 0.40965
126.562447754, 4.4523e-05
126.563733862, 0.59714
127.341535307, 0.20658
128.221239437, 0.41108
129.373736389, 0.60344
129.375313924, 4.4772e-05
130.007614029, 0.21231
130.586945474, 0.4595
131.983761163, 0.31211
132.186795265, 0.60951
132.189285758, 4.501e-05
133.521165506, 0.46562
133.541085502, 0.17888
134.99926337, 0.6153
134.999594857, 4.5252e-05
135.0, 0.32618
136.448379689, 0.17996
136.471893663, 0.47073
137.811069765, 0.62083
137.814336136, 4.5466e-05
138.002636741, 0.31847
139.418786313, 0.4718
139.994881928, 0.21958
140.62472523, 0.62604
140.624765495, 4.5676e-05
141.784105908, 0.43003
142.659033355, 0.21725
143.436590352, 0.631
143.437210933, 4.5875e-05
144.363361552, 0.43542
145.460247075, 0.22723
146.249401563, 0.6356
146.250978372, 4.6077e-05
146.946231904, 0.44794
148.448344239, 0.29555
149.061792109, 4.6247e-05
149.062595471, 0.6399
150.792650598, 0.4483
150.839559445, 0.21619
151.874260768, 4.6377e-05
151.874506313, 0.64383
153.329971373, 0.33702
154.687508153, 4.6496e-05
154.687790667, 0.64748
155.802065598, 0.46118
155.826681277, 0.22053
157.500630452, 4.6588e-05
157.500733528, 0.65074
158.043552901, 0.36363
160.096942908, 0.31863
160.311641493, 4.6685e-05
160.312469867, 0.65363
162.188732057, 0.46139
162.352812133, 0.21682
163.124585564, 4.6762e-05
163.124637081, 0.65616
164.705001525, 0.36019
165.936973832, 0.65833
165.937074887, 4.6864e-05
167.014033687, 0.22843
167.318700705, 0.4623
168.750182627, 4.6923e-05
168.750334766, 0.66011
169.43969078, 0.24103
169.782563947, 0.48937
171.558032345, 0.34416
171.562724366, 4.6999e-05
171.562726085, 0.66148
173.515941571, 0.35497
174.37492428, 0.66253
174.375093775, 4.7035e-05
175.748065249, 0.36885
177.187494137, 4.7048e-05
177.18758687, 0.66314
177.993339635, 0.34909
180.0, 4.6969e-05
180.0, 0.34464
180.0, 0.66341
