  x,     y,   camp
    0.19837E+02,    0.50201E+01,    0.19684E-13
    0.44470E+02,    0.13331E+02,    0.19896E-13
    0.37188E+02,    0.60498E+01,    0.19838E-13
    0.26926E+02,    0.11070E+02,    0.19788E-13
    0.19849E+02,    0.94981E+02,    0.19685E-13
    0.40482E+01,    0.35845E+01,    0.19507E-13
    0.28396E+01,    0.14634E+02,    0.19236E-13
    0.13292E+02,    0.98187E+01,    0.19590E-13
    0.68878E+01,    0.83832E+01,    0.19547E-13
    0.13749E+02,    0.18058E+02,    0.19385E-13
    0.40482E+01,    0.96415E+02,    0.19507E-13
    0.18754E+02,    0.77584E+02,    0.19618E-13
    0.44992E+02,    0.68742E+02,    0.20031E-13
    0.37195E+02,    0.93962E+02,    0.19839E-13
    0.44476E+02,    0.86681E+02,    0.19897E-13
    0.26944E+02,    0.88943E+02,    0.19789E-13
    0.25386E+02,    0.79785E+02,    0.19750E-13
    0.30629E+02,    0.73446E+02,    0.19945E-13
    0.39469E+02,    0.75323E+02,    0.19973E-13
    0.23106E+02,    0.47147E+02,    0.20783E-13
    0.20749E+02,    0.45189E+02,    0.21254E-13
    0.39460E+02,    0.24710E+02,    0.19973E-13
    0.13892E+02,    0.29639E+02,    0.19135E-13
    0.10285E+02,    0.27914E+02,    0.18843E-13
    0.20880E+01,    0.27128E+02,    0.17824E-13
    0.48415E+01,    0.18503E+02,    0.19128E-13
    0.20019E+01,    0.21902E+02,    0.18698E-13
    0.40899E+01,    0.24982E+02,    0.18563E-13
    0.85951E+01,    0.25025E+02,    0.18556E-13
    0.93467E+01,    0.20492E+02,    0.19255E-13
    0.18009E+02,    0.28460E+02,    0.19447E-13
    0.30602E+02,    0.26593E+02,    0.19945E-13
    0.25349E+02,    0.20235E+02,    0.19748E-13
    0.18717E+02,    0.22424E+02,    0.19617E-13
    0.13770E+02,    0.81943E+02,    0.19387E-13
    0.28432E+01,    0.85365E+02,    0.19236E-13
    0.13307E+02,    0.90181E+02,    0.19590E-13
    0.68914E+01,    0.91616E+02,    0.19547E-13
    0.18818E+02,    0.46449E+02,    0.21521E-13
    0.44990E+02,    0.31279E+02,    0.20031E-13
    0.46135E+02,    0.54051E+02,    0.20146E-13
    0.46135E+02,    0.45955E+02,    0.20146E-13
    0.41125E+02,    0.40667E+02,    0.20196E-13
    0.34527E+02,    0.57093E+02,    0.20173E-13
    0.41127E+02,    0.59360E+02,    0.20195E-13
    0.27599E+02,    0.32884E+02,    0.19967E-13
    0.21638E+02,    0.32561E+02,    0.19919E-13
    0.34527E+02,    0.42939E+02,    0.20174E-13
    0.25895E+02,    0.41775E+02,    0.20325E-13
    0.29859E+02,    0.38609E+02,    0.20309E-13
    0.26201E+02,    0.46102E+02,    0.20750E-13
    0.28576E+02,    0.50006E+02,    0.20414E-13
    0.32937E+02,    0.50008E+02,    0.20414E-13
    0.22385E+02,    0.49999E+02,    0.21314E-13
    0.30996E+01,    0.29097E+02,    0.17060E-13
    0.10532E+02,    0.35956E+02,    0.17477E-13
    0.13678E+02,    0.33479E+02,    0.18797E-13
    0.11094E+02,    0.33926E+02,    0.18521E-13
    0.84882E+01,    0.35832E+02,    0.17549E-13
    0.78670E+01,    0.30536E+02,    0.17531E-13
    0.88908E+01,    0.32708E+02,    0.17874E-13
    0.51873E+01,    0.30358E+02,    0.17472E-13
    0.74471E+01,    0.34318E+02,    0.16060E-13
    0.17085E+02,    0.42033E+02,    0.20789E-13
    0.15566E+02,    0.40625E+02,    0.20976E-13
    0.19750E+02,    0.42385E+02,    0.20761E-13
    0.21801E+02,    0.40016E+02,    0.20529E-13
    0.19804E+02,    0.36529E+02,    0.19918E-13
    0.15961E+02,    0.36267E+02,    0.19856E-13
    0.14829E+02,    0.38512E+02,    0.19520E-13
    0.20883E+01,    0.72872E+02,    0.17825E-13
    0.20034E+01,    0.78098E+02,    0.18699E-13
    0.40918E+01,    0.75017E+02,    0.18565E-13
    0.48467E+01,    0.81495E+02,    0.19129E-13
    0.86036E+01,    0.74975E+02,    0.18558E-13
    0.93585E+01,    0.79507E+02,    0.19256E-13
    0.10292E+02,    0.72087E+02,    0.18845E-13
    0.16916E+02,    0.45653E+02,    0.22026E-13
    0.16182E+02,    0.44040E+02,    0.21786E-13
    0.13671E+02,    0.41587E+02,    0.20420E-13
    0.18922E+02,    0.48404E+02,    0.22045E-13
    0.20132E+02,    0.49996E+02,    0.21314E-13
    0.10116E+01,    0.30360E+02,    0.16628E-13
    0.79035E+01,    0.37062E+02,    0.15680E-13
    0.70311E+01,    0.38804E+02,    0.15758E-13
    0.41861E+01,    0.38236E+02,    0.11234E-13
    0.43266E+01,    0.37104E+02,    0.11656E-13
    0.10117E+01,    0.69640E+02,    0.16629E-13
    0.31000E+01,    0.70903E+02,    0.17061E-13
    0.18040E+02,    0.71553E+02,    0.19450E-13
    0.13905E+02,    0.70369E+02,    0.19137E-13
    0.11409E+02,    0.42907E+02,    0.22698E-13
    0.12937E+02,    0.45879E+02,    0.23537E-13
    0.13911E+02,    0.45670E+02,    0.23973E-13
    0.17402E+02,    0.49126E+02,    0.22362E-13
    0.55686E+00,    0.34775E+02,    0.12858E-13
    0.33406E+00,    0.36122E+02,    0.10816E-13
    0.89092E+00,    0.35646E+02,    0.11060E-13
    0.57865E+01,    0.34491E+02,    0.16053E-13
    0.44170E+01,    0.36196E+02,    0.13643E-13
    0.53874E+01,    0.35958E+02,    0.13661E-13
    0.16958E+01,    0.35985E+02,    0.11957E-13
    0.35332E+01,    0.36005E+02,    0.12866E-13
    0.28130E+01,    0.35491E+02,    0.11959E-13
    0.88629E+00,    0.32967E+02,    0.14763E-13
    0.14431E+01,    0.34050E+02,    0.13389E-13
    0.18979E+01,    0.31833E+02,    0.15811E-13
    0.28945E+01,    0.34427E+02,    0.14390E-13
    0.39855E+01,    0.32099E+02,    0.16098E-13
    0.44252E+01,    0.33609E+02,    0.14895E-13
    0.11019E+02,    0.42306E+02,    0.21142E-13
    0.66306E+01,    0.39291E+02,    0.14740E-13
    0.68739E+01,    0.37222E+02,    0.15689E-13
    0.60353E+01,    0.36815E+02,    0.14876E-13
    0.67270E+01,    0.38193E+02,    0.14381E-13
    0.18982E+01,    0.68167E+02,    0.15813E-13
    0.55714E+00,    0.65226E+02,    0.12858E-13
    0.88650E+00,    0.67034E+02,    0.14764E-13
    0.14436E+01,    0.65952E+02,    0.13392E-13
    0.12297E+02,    0.45568E+02,    0.24847E-13
    0.12231E+02,    0.43234E+02,    0.21576E-13
    0.13446E+02,    0.42901E+02,    0.22091E-13
    0.14438E+02,    0.43946E+02,    0.21988E-13
    0.13708E+02,    0.44824E+02,    0.22595E-13
    0.12822E+02,    0.46451E+02,    0.24987E-13
    0.16205E+02,    0.48496E+02,    0.22841E-13
    0.15823E+02,    0.46978E+02,    0.22878E-13
    0.14604E+02,    0.46635E+02,    0.23209E-13
