  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.59698E-01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.59692E-01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.59720E-01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.59717E-01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.59732E-01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.59683E-01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.59675E-01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.59717E-01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.59687E-01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.59683E-01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.59692E-01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.59693E-01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.59680E-01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.59659E-01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.59674E-01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.59657E-01
    0.41108E+01,    0.96202E+00,    0.00000E+00,    0.59708E-01
    0.40647E+01,    0.73734E+00,    0.00000E+00,    0.59669E-01
    0.37545E+01,    0.11880E+01,    0.00000E+00,    0.59656E-01
    0.38684E+01,    0.81376E+00,    0.00000E+00,    0.59659E-01
    0.35012E+01,    0.11288E+01,    0.00000E+00,    0.59662E-01
    0.39145E+01,    0.10384E+01,    0.00000E+00,    0.59700E-01
    0.34993E+01,    0.90150E+00,    0.00000E+00,    0.59611E-01
    0.37066E+01,    0.73600E+00,    0.00000E+00,    0.59641E-01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.59649E-01
    0.46495E+01,    0.19754E+01,    0.00000E+00,    0.59851E-01
    0.42990E+01,    0.19508E+01,    0.00000E+00,    0.59851E-01
    0.40719E+01,    0.25488E+01,    0.00000E+00,    0.59914E-01
    0.42341E+01,    0.27762E+01,    0.00000E+00,    0.60026E-01
    0.46365E+01,    0.24405E+01,    0.00000E+00,    0.59928E-01
    0.45100E+01,    0.27879E+01,    0.00000E+00,    0.60012E-01
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.59614E-01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.59603E-01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.59571E-01
    0.30472E+01,    0.43185E+00,    0.00000E+00,    0.59541E-01
    0.28915E+01,    0.10455E+01,    0.00000E+00,    0.59524E-01
    0.27420E+01,    0.82014E+00,    0.00000E+00,    0.59441E-01
    0.26440E+01,    0.12796E+01,    0.00000E+00,    0.59420E-01
    0.24376E+01,    0.93129E+00,    0.00000E+00,    0.59362E-01
    0.34862E+01,    0.40957E+00,    0.00000E+00,    0.59590E-01
    0.47988E+01,    0.30012E+01,    0.00000E+00,    0.60078E-01
    0.48994E+01,    0.27506E+01,    0.00000E+00,    0.60015E-01
    0.47112E+01,    0.26200E+01,    0.00000E+00,    0.60024E-01
    0.42731E+01,    0.23810E+01,    0.00000E+00,    0.59942E-01
    0.41108E+01,    0.21536E+01,    0.00000E+00,    0.59831E-01
    0.37219E+01,    0.25123E+01,    0.00000E+00,    0.59933E-01
    0.35040E+01,    0.33772E+01,    0.00000E+00,    0.60098E-01
    0.38318E+01,    0.30286E+01,    0.00000E+00,    0.60012E-01
    0.35953E+01,    0.27764E+01,    0.00000E+00,    0.59992E-01
    0.34069E+01,    0.20957E+01,    0.00000E+00,    0.59777E-01
    0.30732E+01,    0.32466E+01,    0.00000E+00,    0.60083E-01
    0.36945E+01,    0.53457E+00,    0.00000E+00,    0.59600E-01
    0.33128E+01,    0.54122E+00,    0.00000E+00,    0.59559E-01
    0.30082E+01,    0.16995E+01,    0.00000E+00,    0.59531E-01
    0.27723E+01,    0.16853E+01,    0.00000E+00,    0.59533E-01
    0.31973E+01,    0.22538E+01,    0.00000E+00,    0.59724E-01
    0.26553E+01,    0.19876E+01,    0.00000E+00,    0.59439E-01
    0.31058E+01,    0.10604E+01,    0.00000E+00,    0.59527E-01
    0.32464E+01,    0.12532E+01,    0.00000E+00,    0.59591E-01
    0.33138E+01,    0.83173E+00,    0.00000E+00,    0.59596E-01
    0.37800E+01,    0.14072E+01,    0.00000E+00,    0.59725E-01
    0.37602E+01,    0.18227E+01,    0.00000E+00,    0.59724E-01
    0.35243E+01,    0.18086E+01,    0.00000E+00,    0.59760E-01
    0.38176E+01,    0.20509E+01,    0.00000E+00,    0.59840E-01
    0.36298E+01,    0.22417E+01,    0.00000E+00,    0.59780E-01
    0.35016E+01,    0.16229E+01,    0.00000E+00,    0.59643E-01
    0.43917E+01,    0.13582E+01,    0.00000E+00,    0.59777E-01
    0.43169E+01,    0.10372E+01,    0.00000E+00,    0.59702E-01
    0.27414E+01,    0.11270E+00,    0.00000E+00,    0.59451E-01
    0.24657E+01,    0.45080E+00,    0.00000E+00,    0.59393E-01
    0.30122E+01,    0.17520E+00,    0.00000E+00,    0.59491E-01
    0.27592E+01,    0.59475E+00,    0.00000E+00,    0.59458E-01
    0.24828E+01,    0.22540E+00,    0.00000E+00,    0.59401E-01
    0.22414E+01,    0.11270E+00,    0.00000E+00,    0.59338E-01
    0.20553E+01,    0.48049E+00,    0.00000E+00,    0.59295E-01
    0.18863E+01,    0.62288E+00,    0.00000E+00,    0.59221E-01
    0.22410E+01,    0.83343E+00,    0.00000E+00,    0.59298E-01
    0.20423E+01,    0.10144E+01,    0.00000E+00,    0.59247E-01
    0.21628E+01,    0.13687E+01,    0.00000E+00,    0.59269E-01
    0.23157E+01,    0.17478E+01,    0.00000E+00,    0.59305E-01
    0.24089E+01,    0.11966E+01,    0.00000E+00,    0.59361E-01
    0.25974E+01,    0.15552E+01,    0.00000E+00,    0.59434E-01
    0.21162E+01,    0.16443E+01,    0.00000E+00,    0.59182E-01
    0.18881E+01,    0.18061E+01,    0.00000E+00,    0.59089E-01
    0.32214E+01,    0.15280E+01,    0.00000E+00,    0.59636E-01
    0.43333E+01,    0.99167E+01,    0.00000E+00,    0.59683E-01
    0.48333E+01,    0.97500E+01,    0.00000E+00,    0.59696E-01
    0.37500E+01,    0.98333E+01,    0.00000E+00,    0.59627E-01
    0.32917E+01,    0.99167E+01,    0.00000E+00,    0.59577E-01
    0.35417E+01,    0.97500E+01,    0.00000E+00,    0.59602E-01
    0.32812E+01,    0.95411E+01,    0.00000E+00,    0.59572E-01
    0.35104E+01,    0.95693E+01,    0.00000E+00,    0.59576E-01
    0.32812E+01,    0.93047E+01,    0.00000E+00,    0.59602E-01
    0.35104E+01,    0.93328E+01,    0.00000E+00,    0.59600E-01
    0.30625E+01,    0.91791E+01,    0.00000E+00,    0.59533E-01
    0.31458E+01,    0.97219E+01,    0.00000E+00,    0.59517E-01
    0.27214E+01,    0.98410E+01,    0.00000E+00,    0.59443E-01
    0.47083E+01,    0.95625E+01,    0.00000E+00,    0.59696E-01
    0.47917E+01,    0.93542E+01,    0.00000E+00,    0.59714E-01
    0.49167E+01,    0.92083E+01,    0.00000E+00,    0.59719E-01
    0.47500E+01,    0.89583E+01,    0.00000E+00,    0.59725E-01
    0.39583E+01,    0.97083E+01,    0.00000E+00,    0.59648E-01
    0.42083E+01,    0.97917E+01,    0.00000E+00,    0.59658E-01
    0.40000E+01,    0.92812E+01,    0.00000E+00,    0.59671E-01
    0.42917E+01,    0.95729E+01,    0.00000E+00,    0.59685E-01
    0.27604E+01,    0.83365E+01,    0.00000E+00,    0.59485E-01
    0.25521E+01,    0.85058E+01,    0.00000E+00,    0.59394E-01
    0.29062E+01,    0.87729E+01,    0.00000E+00,    0.59474E-01
    0.26354E+01,    0.87959E+01,    0.00000E+00,    0.59471E-01
    0.25052E+01,    0.89742E+01,    0.00000E+00,    0.59363E-01
    0.26016E+01,    0.92584E+01,    0.00000E+00,    0.59441E-01
    0.24401E+01,    0.94414E+01,    0.00000E+00,    0.59361E-01
    0.20104E+01,    0.97536E+01,    0.00000E+00,    0.59278E-01
    0.22552E+01,    0.98768E+01,    0.00000E+00,    0.59350E-01
    0.34010E+01,    0.82961E+01,    0.00000E+00,    0.59695E-01
    0.31615E+01,    0.81431E+01,    0.00000E+00,    0.59664E-01
    0.32969E+01,    0.84587E+01,    0.00000E+00,    0.59612E-01
    0.31406E+01,    0.83587E+01,    0.00000E+00,    0.59597E-01
    0.31042E+01,    0.89077E+01,    0.00000E+00,    0.59584E-01
    0.24766E+01,    0.97178E+01,    0.00000E+00,    0.59411E-01
    0.29089E+01,    0.96462E+01,    0.00000E+00,    0.59511E-01
    0.22292E+01,    0.93540E+01,    0.00000E+00,    0.59342E-01
    0.28255E+01,    0.93399E+01,    0.00000E+00,    0.59460E-01
    0.13750E+01,    0.88186E+01,    0.00000E+00,    0.59019E-01
    0.12917E+01,    0.91087E+01,    0.00000E+00,    0.59009E-01
