"X","    Y","  V  ","Points:0","Points:1","Points:2"
0,0,0,0,0,0
5,0,0,5,0,0
5,10,1,5,10,0
0,10,1,0,10,0
0,6.0001,0.64511,0,6.0001,0
1.0001,5,0.5005,1.0001,5,0
0,3.9999,0.3548,0,3.9999,0
0,4,0.45819,0,4,0
1,5,0.50004,1,5,0
0,6,0.5426,0,6,0
0.5,0,0,0.5,0,0
1,0,0,1,0,0
1.5,0,0,1.5,0,0
2,0,0,2,0,0
2.5,0,0,2.5,0,0
3,0,0,3,0,0
3.5,0,0,3.5,0,0
4,0,0,4,0,0
4.5,0,0,4.5,0,0
5,0.5,0.049777,5,0.5,0
5,1,0.099567,5,1,0
5,1.5,0.14939,5,1.5,0
5,2,0.19926,5,2,0
5,2.5,0.24919,5,2.5,0
5,3,0.29921,5,3,0
5,3.5,0.34931,5,3.5,0
5,4,0.39948,5,4,0
5,4.5,0.44973,5,4.5,0
5,5,0.5,5,5,0
5,5.5,0.55028,5,5.5,0
5,6,0.60052,5,6,0
5,6.5,0.65069,5,6.5,0
5,7,0.70079,5,7,0
5,7.5,0.75081,5,7.5,0
5,8,0.80074,5,8,0
5,8.5,0.85061,5,8.5,0
5,9,0.90043,5,9,0
5,9.5,0.95023,5,9.5,0
4.5,10,1,4.5,10,0
4,10,1,4,10,0
3.5,10,1,3.5,10,0
3,10,1,3,10,0
2.5,10,1,2.5,10,0
2,10,1,2,10,0
1.5,10,1,1.5,10,0
1,10,1,1,10,0
0.5,10,1,0.5,10,0
0,9.5,0.95082,0,9.5,0
0,9,0.90173,0,9,0
0,8.5,0.85285,0,8.5,0
0,8,0.80438,0,8,0
0,7.5164,0.7582,0,7.5164,0
0,7.4501,0.75195,0,7.4501,0
0,7.4001,0.74728,0,7.4001,0
0,7.3501,0.74264,0,7.3501,0
0,7.3001,0.73801,0,7.3001,0
0,7.2501,0.73341,0,7.2501,0
0,7.2001,0.72884,0,7.2001,0
0,7.1501,0.7243,0,7.1501,0
0,7.1001,0.71978,0,7.1001,0
0,7.0501,0.7153,0,7.0501,0
0,7.0001,0.71086,0,7.0001,0
0,6.9501,0.70646,0,6.9501,0
0,6.9001,0.70212,0,6.9001,0
0,6.8501,0.69782,0,6.8501,0
0,6.8001,0.69357,0,6.8001,0
0,6.7501,0.6894,0,6.7501,0
0,6.7001,0.68529,0,6.7001,0
0,6.6501,0.68127,0,6.6501,0
0,6.6001,0.67735,0,6.6001,0
0,6.5501,0.67351,0,6.5501,0
0,6.5001,0.66979,0,6.5001,0
0,6.4501,0.66622,0,6.4501,0
0,6.4001,0.6628,0,6.4001,0
0,6.3501,0.65956,0,6.3501,0
0,6.3001,0.65652,0,6.3001,0
0,6.2501,0.65372,0,6.2501,0
0,6.2001,0.65118,0,6.2001,0
0,6.1501,0.649,0,6.1501,0
0,6.1001,0.64719,0,6.1001,0
0,6.0501,0.6459,0,6.0501,0
0.99052,5.1381,0.52013,0.99052,5.1381,0
0.96242,5.2719,0.53935,0.96242,5.2719,0
0.91764,5.3977,0.55743,0.91764,5.3977,0
0.85889,5.5123,0.57406,0.85889,5.5123,0
0.78943,5.614,0.58872,0.78943,5.614,0
0.71481,5.6995,0.60111,0.71481,5.6995,0
0.67702,5.7361,0.60655,0.67702,5.7361,0
0.63971,5.7687,0.61138,0.63971,5.7687,0
0.60083,5.7995,0.61584,0.60083,5.7995,0
0.56047,5.8283,0.62003,0.56047,5.8283,0
0.51874,5.8551,0.6239,0.51874,5.8551,0
0.47573,5.8797,0.62749,0.47573,5.8797,0
0.43156,5.9022,0.63078,0.43156,5.9022,0
0.38632,5.9225,0.63371,0.38632,5.9225,0
0.34013,5.9405,0.63629,0.34013,5.9405,0
0.29311,5.9562,0.6386,0.29311,5.9562,0
0.24536,5.9695,0.64052,0.24536,5.9695,0
0.19702,5.9805,0.64216,0.19702,5.9805,0
0.14819,5.9891,0.64341,0.14819,5.9891,0
0.098996,5.9952,0.64431,0.098996,5.9952,0
0.049559,5.9989,0.64486,0.049559,5.9989,0
0.050492,4.0012,0.35508,0.050492,4.0012,0
0.10085,4.005,0.35563,0.10085,4.005,0
0.15096,4.0114,0.35658,0.15096,4.0114,0
0.20068,4.0202,0.35787,0.20068,4.0202,0
0.24989,4.0316,0.35953,0.24989,4.0316,0
0.29846,4.0455,0.36154,0.29846,4.0455,0
0.34627,4.0618,0.36394,0.34627,4.0618,0
0.3932,4.0804,0.36667,0.3932,4.0804,0
0.43912,4.1015,0.36965,0.43912,4.1015,0
0.48393,4.1248,0.37309,0.48393,4.1248,0
0.5275,4.1503,0.37676,0.5275,4.1503,0
0.56972,4.178,0.3808,0.56972,4.178,0
0.61049,4.2078,0.38511,0.61049,4.2078,0
0.64971,4.2397,0.38972,0.64971,4.2397,0
0.68726,4.2735,0.39461,0.68726,4.2735,0
0.72307,4.3091,0.3998,0.72307,4.3091,0
0.75703,4.3465,0.40522,0.75703,4.3465,0
0.78906,4.3855,0.41091,0.78906,4.3855,0
0.81907,4.4261,0.41683,0.81907,4.4261,0
0.847,4.4682,0.42294,0.847,4.4682,0
0.87277,4.5117,0.42921,0.87277,4.5117,0
0.89631,4.5564,0.43572,0.89631,4.5564,0
0.91757,4.6022,0.44237,0.91757,4.6022,0
0.93648,4.649,0.44916,0.93648,4.649,0
0.95301,4.6967,0.45612,0.95301,4.6967,0
0.9671,4.7452,0.46316,0.9671,4.7452,0
0.97873,4.7944,0.47029,0.97873,4.7944,0
0.98787,4.8441,0.47752,0.98787,4.8441,0
0.99448,4.8941,0.48484,0.99448,4.8941,0
0.99856,4.9445,0.49222,0.99856,4.9445,0
0.050486,4.0013,0.45825,0.050486,4.0013,0
0.10084,4.0051,0.45842,0.10084,4.0051,0
0.15094,4.0115,0.4587,0.15094,4.0115,0
0.20066,4.0203,0.45909,0.20066,4.0203,0
0.24986,4.0317,0.45956,0.24986,4.0317,0
0.29843,4.0456,0.46011,0.29843,4.0456,0
0.34624,4.0618,0.46067,0.34624,4.0618,0
0.39316,4.0805,0.46145,0.39316,4.0805,0
0.43908,4.1015,0.46234,0.43908,4.1015,0
0.48388,4.1249,0.46327,0.48388,4.1249,0
0.52744,4.1504,0.46446,0.52744,4.1504,0
0.56966,4.1781,0.46561,0.56966,4.1781,0
0.61043,4.2079,0.46691,0.61043,4.2079,0
0.64964,4.2398,0.46829,0.64964,4.2398,0
0.68719,4.2735,0.46973,0.68719,4.2735,0
0.723,4.3091,0.47117,0.723,4.3091,0
0.75695,4.3465,0.47272,0.75695,4.3465,0
