X,    Y,  V  
    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.10000E+02,    0.10000E+01
    0.00000E+00,    0.10000E+02,    0.10000E+01
    0.00000E+00,    0.60001E+01,    0.64511E+00
    0.10001E+01,    0.50000E+01,    0.50050E+00
    0.00000E+00,    0.39999E+01,    0.35480E+00
    0.00000E+00,    0.40000E+01,    0.45819E+00
    0.10000E+01,    0.50000E+01,    0.50004E+00
    0.00000E+00,    0.60000E+01,    0.54260E+00
    0.50000E+00,    0.00000E+00,    0.00000E+00
    0.10000E+01,    0.00000E+00,    0.00000E+00
    0.15000E+01,    0.00000E+00,    0.00000E+00
    0.20000E+01,    0.00000E+00,    0.00000E+00
    0.25000E+01,    0.00000E+00,    0.00000E+00
    0.30000E+01,    0.00000E+00,    0.00000E+00
    0.35000E+01,    0.00000E+00,    0.00000E+00
    0.40000E+01,    0.00000E+00,    0.00000E+00
    0.45000E+01,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.50000E+00,    0.49777E-01
    0.50000E+01,    0.10000E+01,    0.99567E-01
    0.50000E+01,    0.15000E+01,    0.14939E+00
    0.50000E+01,    0.20000E+01,    0.19926E+00
    0.50000E+01,    0.25000E+01,    0.24919E+00
    0.50000E+01,    0.30000E+01,    0.29921E+00
    0.50000E+01,    0.35000E+01,    0.34931E+00
    0.50000E+01,    0.40000E+01,    0.39948E+00
    0.50000E+01,    0.45000E+01,    0.44973E+00
    0.50000E+01,    0.50000E+01,    0.50000E+00
    0.50000E+01,    0.55000E+01,    0.55028E+00
    0.50000E+01,    0.60000E+01,    0.60052E+00
    0.50000E+01,    0.65000E+01,    0.65069E+00
    0.50000E+01,    0.70000E+01,    0.70079E+00
    0.50000E+01,    0.75000E+01,    0.75081E+00
    0.50000E+01,    0.80000E+01,    0.80074E+00
    0.50000E+01,    0.85000E+01,    0.85061E+00
    0.50000E+01,    0.90000E+01,    0.90043E+00
    0.50000E+01,    0.95000E+01,    0.95023E+00
    0.45000E+01,    0.10000E+02,    0.10000E+01
    0.40000E+01,    0.10000E+02,    0.10000E+01
    0.35000E+01,    0.10000E+02,    0.10000E+01
    0.30000E+01,    0.10000E+02,    0.10000E+01
    0.25000E+01,    0.10000E+02,    0.10000E+01
    0.20000E+01,    0.10000E+02,    0.10000E+01
    0.15000E+01,    0.10000E+02,    0.10000E+01
    0.10000E+01,    0.10000E+02,    0.10000E+01
    0.50000E+00,    0.10000E+02,    0.10000E+01
    0.00000E+00,    0.95000E+01,    0.95082E+00
    0.00000E+00,    0.90000E+01,    0.90173E+00
    0.00000E+00,    0.85000E+01,    0.85285E+00
