  x,     y,   corriente
    0.19912E+02,    0.49690E+01,    0.19725E-13
    0.44511E+02,    0.13183E+02,    0.19909E-13
    0.37279E+02,    0.59513E+01,    0.19859E-13
    0.27007E+02,    0.10920E+02,    0.19816E-13
    0.19913E+02,    0.95020E+02,    0.19724E-13
    0.13287E+02,    0.90124E+02,    0.19642E-13
    0.40830E+01,    0.36365E+01,    0.19569E-13
    0.25504E+02,    0.19955E+02,    0.19786E-13
    0.45944E+02,    0.45968E+02,    0.20128E-13
    0.32049E+02,    0.52594E+02,    0.20321E-13
    0.34589E+02,    0.57950E+02,    0.20145E-13
    0.40830E+01,    0.96364E+02,    0.19569E-13
    0.68921E+01,    0.91468E+02,    0.19602E-13
    0.13880E+02,    0.81821E+02,    0.19484E-13
    0.45084E+02,    0.69084E+02,    0.20027E-13
    0.45944E+02,    0.54134E+02,    0.20126E-13
    0.41028E+02,    0.59700E+02,    0.20165E-13
    0.37269E+02,    0.94113E+02,    0.19859E-13
    0.44501E+02,    0.86881E+02,    0.19909E-13
    0.26998E+02,    0.89133E+02,    0.19816E-13
    0.39585E+02,    0.75780E+02,    0.19971E-13
    0.12776E+01,    0.27376E+02,    0.18056E-13
    0.20208E+01,    0.22238E+02,    0.18853E-13
    0.32984E+01,    0.25278E+02,    0.18450E-13
    0.28078E+01,    0.14861E+02,    0.19326E-13
    0.48286E+01,    0.18840E+02,    0.19222E-13
    0.13285E+02,    0.98640E+01,    0.19642E-13
    0.68908E+01,    0.85315E+01,    0.19603E-13
    0.18310E+02,    0.28181E+02,    0.19517E-13
    0.14073E+02,    0.30015E+02,    0.19220E-13
    0.18990E+02,    0.22289E+02,    0.19659E-13
    0.13866E+02,    0.18150E+02,    0.19484E-13
    0.94924E+01,    0.20795E+02,    0.19333E-13
    0.40962E+02,    0.40553E+02,    0.20171E-13
    0.30795E+02,    0.26238E+02,    0.19950E-13
    0.45018E+02,    0.31068E+02,    0.20026E-13
    0.39529E+02,    0.24436E+02,    0.19973E-13
    0.28090E+01,    0.85138E+02,    0.19326E-13
    0.30866E+02,    0.73957E+02,    0.19944E-13
    0.19019E+02,    0.77661E+02,    0.19658E-13
    0.25511E+02,    0.80077E+02,    0.19787E-13
