  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.99512E+01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.99501E+01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.99546E+01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.99543E+01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.99567E+01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.99487E+01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.99474E+01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.99542E+01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.99493E+01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.99486E+01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.99502E+01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.99504E+01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.99483E+01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.99448E+01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.99472E+01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.99444E+01
    0.41139E+01,    0.96117E+00,    0.00000E+00,    0.99527E+01
    0.40657E+01,    0.73706E+00,    0.00000E+00,    0.99465E+01
    0.37633E+01,    0.11855E+01,    0.00000E+00,    0.99443E+01
    0.38720E+01,    0.81277E+00,    0.00000E+00,    0.99448E+01
    0.35119E+01,    0.11258E+01,    0.00000E+00,    0.99453E+01
    0.39202E+01,    0.10369E+01,    0.00000E+00,    0.99514E+01
    0.35080E+01,    0.89909E+00,    0.00000E+00,    0.99371E+01
    0.37112E+01,    0.73472E+00,    0.00000E+00,    0.99420E+01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.99432E+01
    0.37113E+01,    0.22672E+01,    0.00000E+00,    0.99675E+01
    0.33476E+01,    0.19421E+01,    0.00000E+00,    0.99460E+01
    0.36493E+01,    0.25461E+01,    0.00000E+00,    0.99797E+01
    0.46536E+01,    0.19743E+01,    0.00000E+00,    0.99760E+01
    0.43072E+01,    0.19485E+01,    0.00000E+00,    0.99760E+01
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.99375E+01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.99358E+01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.99306E+01
    0.30533E+01,    0.43015E+00,    0.00000E+00,    0.99262E+01
    0.29100E+01,    0.10404E+01,    0.00000E+00,    0.99240E+01
    0.27564E+01,    0.81618E+00,    0.00000E+00,    0.99105E+01
    0.27097E+01,    0.12066E+01,    0.00000E+00,    0.99111E+01
    0.23628E+01,    0.10407E+01,    0.00000E+00,    0.99003E+01
    0.22640E+01,    0.13999E+01,    0.00000E+00,    0.98773E+01
    0.25561E+01,    0.98232E+00,    0.00000E+00,    0.99016E+01
    0.34883E+01,    0.40901E+00,    0.00000E+00,    0.99338E+01
