X, Y, campo
0.865109, 40.0287, 0
0.133172, 60.0148, 0
0.208535, 39.9934, 0
0.635455, 40.0114, 0
0.059027, 39.9751, 0
0.300646, 39.9945, 0
0.240594, 39.9354, 0
0.379909, 39.9984, 0
0.46432, 40.0009, 0
0.555382, 39.9997, 0
0.594584, 40.0089, 0
0.783487, 40.0219, 0
0.713685, 40.0115, 0
0.837049, 40.0263, 0
0.655132, 40.0044, 0
0.890587, 40.0309, 0
1.04521, 40.0407, 0
0.961148, 40.0322, 0
1.09174, 40.0509, 0
1.26707, 40.0718, 0
1.23032, 40.0563, 0
1.39102, 40.0814, 0
1.35022, 40.0775, 0
1.15276, 40.0578, 0
1.51034, 40.1059, 0
1.57104, 40.107, 0
1.76025, 40.1472, 0
1.69914, 40.1327, 0
1.87377, 40.1598, 0
1.81255, 40.1529, 0
1.63857, 40.1224, 0
1.44245, 40.0926, 0
1.92876, 40.1788, 0
1.98685, 40.1821, 0
2.05415, 40.2043, 0
2.24368, 40.242, 0
2.17919, 40.2313, 0
2.35436, 40.2635, 0
2.29891, 40.2588, 0
2.11469, 40.2087, 0
2.47286, 40.3015, 0
2.53232, 40.3169, 0
2.71544, 40.3651, 0
2.65589, 40.35, 0
2.76959, 40.3806, 0
2.58711, 40.3299, 0
2.42076, 40.2884, 0
2.94821, 40.4353, 0
2.90986, 40.4163, 0
2.99464, 40.4497, 0
3.2049, 40.5069, 0
3.1262, 40.492, 0
3.29734, 40.5412, 0
3.23779, 40.5294, 0
3.06424, 40.4631, 0
3.41879, 40.5932, 0
3.46924, 40.6117, 0
3.64623, 40.679, 0
3.57992, 40.6519, 0
3.72138, 40.7013, 0
3.5196, 40.6305, 0
3.3519, 40.5637, 0
2.83101, 40.3985, 0
3.75559, 40.7226, 0
3.87063, 40.7625, 0
3.8144, 40.7377, 0
3.93278, 40.7963, 0
4.09043, 40.8637, 0
4.03138, 40.839, 0
4.23172, 40.918, 0
4.15514, 40.8945, 0
3.98214, 40.8175, 0
4.31742, 40.9703, 0
4.37044, 40.9959, 0
4.55627, 41.0764, 0
4.48976, 41.0547, 0
4.60804, 41.1073, 0
4.42927, 41.0212, 0
4.26194, 40.944, 0
4.76272, 41.1927, 0
4.7039, 41.1561, 0
4.81597, 41.2261, 0
4.97297, 41.3046, 0
4.91213, 41.2796, 0
5.07623, 41.374, 0
5.03285, 41.3442, 0
4.86589, 41.2442, 0
5.18257, 41.4331, 0
5.23736, 41.4612, 0
5.39675, 41.5708, 0
5.34804, 41.5354, 0
5.51439, 41.6411, 0
5.44193, 41.6, 0
5.296, 41.5027, 0
5.14467, 41.4066, 0
4.64975, 41.1326, 0
5.58925, 41.6973, 0
5.64832, 41.731, 0
5.79942, 41.8366, 0
5.76921, 41.8128, 0
5.89725, 41.9066, 0
5.85132, 41.8697, 0
5.70125, 41.7737, 0
5.99607, 41.9861, 0
6.03901, 42.0184, 0
6.21568, 42.1415, 0
6.1466, 42.101, 0
6.23907, 42.1738, 0
6.09076, 42.0561, 0
5.95296, 41.954, 0
6.38799, 42.2949, 0
6.33497, 42.2445, 0
6.42926, 42.3293, 0
6.57322, 42.4523, 0
6.51995, 42.4043, 0
6.66153, 42.5301, 0
6.63996, 42.4966, 0
6.47035, 42.3639, 0
6.75639, 42.6065, 0
6.80353, 42.6592, 0
6.92925, 42.7758, 0
6.88196, 42.7327, 0
7.0404, 42.8763, 0
6.9798, 42.8266, 0
6.84284, 42.6958, 0
