X, Y, corriente
0.865109, 40.0287, 2.99567e-10
0.133172, 60.0148, 5.89147e-11
0.208535, 39.9934, 9.8023e-11
0.635455, 40.0114, 2.28078e-10
0.059027, 39.9751, 5.1821e-11
0.300646, 39.9945, 1.2125e-10
0.240594, 39.9354, 1.24604e-10
0.379909, 39.9984, 1.45159e-10
0.46432, 40.0009, 1.76076e-10
0.555382, 39.9997, 2.0379e-10
0.594584, 40.0089, 2.21399e-10
0.783487, 40.0219, 2.82672e-10
0.713685, 40.0115, 2.56094e-10
0.837049, 40.0263, 2.95546e-10
0.655132, 40.0044, 2.3851e-10
0.890587, 40.0309, 3.08401e-10
1.04521, 40.0407, 3.58718e-10
0.961148, 40.0322, 3.34135e-10
1.09174, 40.0509, 3.73486e-10
1.26707, 40.0718, 4.24356e-10
1.23032, 40.0563, 4.12056e-10
1.39102, 40.0814, 4.55575e-10
1.35022, 40.0775, 4.45046e-10
1.15276, 40.0578, 3.92583e-10
1.51034, 40.1059, 4.82766e-10
1.57104, 40.107, 4.95865e-10
1.76025, 40.1472, 5.41056e-10
1.69914, 40.1327, 5.28142e-10
1.87377, 40.1598, 5.65259e-10
1.81255, 40.1529, 5.50864e-10
1.63857, 40.1224, 5.11304e-10
1.44245, 40.0926, 4.64125e-10
1.92876, 40.1788, 5.75767e-10
1.98685, 40.1821, 5.97561e-10
2.05415, 40.2043, 6.16545e-10
2.24368, 40.242, 6.78481e-10
2.17919, 40.2313, 6.57686e-10
2.35436, 40.2635, 7.11457e-10
2.29891, 40.2588, 6.98959e-10
2.11469, 40.2087, 6.35592e-10
2.47286, 40.3015, 7.42053e-10
2.53232, 40.3169, 7.62906e-10
2.71544, 40.3651, 8.24487e-10
2.65589, 40.35, 8.03947e-10
2.76959, 40.3806, 8.4127e-10
2.58711, 40.3299, 7.77381e-10
2.42076, 40.2884, 7.2809e-10
2.94821, 40.4353, 9.02189e-10
2.90986, 40.4163, 8.85876e-10
2.99464, 40.4497, 9.18771e-10
3.2049, 40.5069, 1.00537e-09
3.1262, 40.492, 9.71028e-10
3.29734, 40.5412, 1.0413e-09
3.23779, 40.5294, 1.01454e-09
3.06424, 40.4631, 9.46089e-10
3.41879, 40.5932, 1.07033e-09
3.46924, 40.6117, 1.07879e-09
3.64623, 40.679, 1.12748e-09
3.57992, 40.6519, 1.10434e-09
3.72138, 40.7013, 1.14772e-09
3.5196, 40.6305, 1.08811e-09
3.3519, 40.5637, 1.05582e-09
2.83101, 40.3985, 8.65008e-10
3.75559, 40.7226, 1.16155e-09
3.87063, 40.7625, 1.18416e-09
3.8144, 40.7377, 1.17288e-09
3.93278, 40.7963, 1.1982e-09
4.09043, 40.8637, 1.22795e-09
4.03138, 40.839, 1.21551e-09
4.23172, 40.918, 1.26631e-09
4.15514, 40.8945, 1.24705e-09
3.98214, 40.8175, 1.20726e-09
4.31742, 40.9703, 1.29122e-09
4.37044, 40.9959, 1.30638e-09
4.55627, 41.0764, 1.35185e-09
4.48976, 41.0547, 1.33523e-09
4.60804, 41.1073, 1.36385e-09
4.42927, 41.0212, 1.31796e-09
4.26194, 40.944, 1.27525e-09
4.76272, 41.1927, 1.415e-09
4.7039, 41.1561, 1.39498e-09
4.81597, 41.2261, 1.43344e-09
4.97297, 41.3046, 1.47473e-09
4.91213, 41.2796, 1.45863e-09
5.07623, 41.374, 1.50043e-09
5.03285, 41.3442, 1.48798e-09
4.86589, 41.2442, 1.44832e-09
5.18257, 41.4331, 1.52281e-09
5.23736, 41.4612, 1.53519e-09
5.39675, 41.5708, 1.56565e-09
5.34804, 41.5354, 1.55543e-09
5.51439, 41.6411, 1.59486e-09
5.44193, 41.6, 1.57208e-09
5.296, 41.5027, 1.54855e-09
5.14467, 41.4066, 1.51333e-09
4.64975, 41.1326, 1.37711e-09
5.58925, 41.6973, 1.6141e-09
5.64832, 41.731, 1.63124e-09
5.79942, 41.8366, 1.6799e-09
5.76921, 41.8128, 1.6696e-09
5.89725, 41.9066, 1.71121e-09
5.85132, 41.8697, 1.6991e-09
5.70125, 41.7737, 1.64793e-09
5.99607, 41.9861, 1.74327e-09
6.03901, 42.0184, 1.75403e-09
6.21568, 42.1415, 1.81037e-09
6.1466, 42.101, 1.78967e-09
6.23907, 42.1738, 1.81745e-09
6.09076, 42.0561, 1.76911e-09
5.95296, 41.954, 1.73217e-09
6.38799, 42.2949, 1.85273e-09
6.33497, 42.2445, 1.83285e-09
6.42926, 42.3293, 1.8611e-09
6.57322, 42.4523, 1.90362e-09
6.51995, 42.4043, 1.88383e-09
6.66153, 42.5301, 1.93035e-09
6.63996, 42.4966, 1.92369e-09
6.47035, 42.3639, 1.87019e-09
6.75639, 42.6065, 1.94993e-09
6.80353, 42.6592, 1.96308e-09
6.92925, 42.7758, 1.99397e-09
6.88196, 42.7327, 1.97926e-09
7.0404, 42.8763, 2.0335e-09
6.9798, 42.8266, 2.01526e-09
6.84284, 42.6958, 1.97035e-09
6.71181, 42.5641, 1.94212e-09
6.29115, 42.205, 1.8275e-09
5.54948, 41.6623, 1.60479e-09
2.57775, 59.6796, 7.76475e-10
2.4428, 59.71, 7.44328e-10
2.50014, 59.6915, 7.63014e-10
2.79451, 59.6179, 8.44136e-10
2.69535, 59.639, 8.12203e-10
2.75059, 59.632, 8.27197e-10
2.62193, 59.6664, 7.9213e-10
2.0794, 59.7974, 6.57478e-10
1.97432, 59.8205, 6.18422e-10
2.03113, 59.8044, 6.41171e-10
2.33946, 59.7347, 7.14271e-10
2.20446, 59.7701, 6.84741e-10
2.26653, 59.7488, 6.99334e-10
2.15239, 59.7777, 6.75774e-10
2.38351, 59.7208, 7.29481e-10
3.49804, 59.3776, 1.02406e-09
3.38597, 59.4289, 9.90939e-10
3.43803, 59.3998, 1.00708e-09
3.74251, 59.286, 1.07899e-09
3.61416, 59.3408, 1.05879e-09
3.66665, 59.3204, 1.07482e-09
3.55361, 59.3581, 1.04357e-09
3.03463, 59.5409, 9.15858e-10
2.91232, 59.5829, 8.8157e-10
2.98774, 59.5539, 9.02508e-10
3.26685, 59.4606, 9.71428e-10
3.1728, 59.4941, 9.48124e-10
3.21404, 59.4802, 9.5971e-10
3.10863, 59.5243, 9.31414e-10
3.32882, 59.4478, 9.79695e-10
2.88212, 59.5848, 8.67593e-10
0.516937, 60.0006, 1.71588e-10
0.561387, 59.993, 1.87968e-10
0.885766, 59.9726, 2.89704e-10
0.770735, 59.979, 2.57983e-10
0.686744, 59.9883, 2.31237e-10
0.826853, 59.9745, 2.73835e-10
0.639816, 59.9966, 2.10689e-10
0.0882817, 60.0084, 3.98161e-11
0.148469, 60.0115, 6.1143e-11
0.189503, 60.0139, 7.83046e-11
0.264817, 60.0053, 9.59747e-11
0.363469, 60.0073, 1.25615e-10
0.31342, 60.0039, 1.07864e-10
0.402968, 60.0021, 1.38344e-10
0.435096, 60.0045, 1.47664e-10
1.59905, 59.8816, 5.14228e-10
1.49769, 59.8961, 4.74235e-10
1.5407, 59.8895, 4.91228e-10
1.84333, 59.8376, 5.80117e-10
1.72241, 59.8665, 5.46242e-10
1.793, 59.8468, 5.67141e-10
1.68464, 59.866, 5.37818e-10
1.0154, 59.9571, 3.30221e-10
0.94694, 59.967, 3.09064e-10
1.04797, 59.9607, 3.40836e-10
1.35225, 59.9278, 4.40109e-10
1.23425, 59.9338, 4.03955e-10
1.17565, 59.9395, 3.79119e-10
1.2921, 59.932, 4.20757e-10
1.11464, 59.9465, 3.57556e-10
1.43462, 59.9068, 4.62804e-10
1.90617, 59.8256, 5.97735e-10
3.79942, 59.2629, 1.09281e-09
6.0197, 58.0048, 1.74985e-09
6.07566, 57.9642, 1.76076e-09
6.17004, 57.8895, 1.78317e-09
