X, Y, V
4.804, 44.351, nan
4.289, 44.08, nan
3.721, 44.127, nan
3.116, 44.143, nan
4.759, 43.979, nan
3.096, 43.532, nan
3.674, 43.529, nan
4.238, 43.511, nan
4.739, 43.512, nan
2.532, 44.136, nan
2.498, 43.519, nan
5.22, 44.376, nan
5.172, 43.974, nan
5.104, 44.861, nan
4.49, 44.694, nan
3.78, 44.76, nan
3.154, 44.783, nan
2.542, 44.784, nan
1.95, 44.106, nan
2.479, 42.927, nan
3.065, 42.931, nan
5.207, 43.547, nan
3.659, 42.932, nan
4.231, 42.93, nan
4.763, 42.989, nan
5.266, 43.071, nan
1.954, 43.494, nan
1.417, 44.043, nan
1.464, 43.454, nan
1.967, 44.772, nan
1.841, 42.896, nan
5.534, 43.976, nan
5.644, 43.631, nan
1.376, 44.758, nan
0, 44.762, nan
0.755, 44.751, nan
0, 43.81, nan
0.804, 43.859, nan
5.7, 44.899, nan
5.754, 44.313, nan
4.437, 45.432, nan
5.061, 45.481, nan
3.805, 45.442, nan
3.17, 45.457, nan
2.561, 45.458, nan
1.962, 45.455, nan
5.692, 45.542, nan
1.939, 42.338, nan
2.465, 42.339, nan
3.054, 42.325, nan
3.644, 42.332, nan
1.408, 45.471, nan
1.466, 42.307, nan
1.085, 42.85, nan
0, 42.857, nan
6.03, 43.857, nan
0.788, 45.625, nan
0, 45.714, nan
1.448, 46.051, nan
1.958, 46.116, nan
2.558, 46.154, nan
3.198, 46.157, nan
3.824, 46.144, nan
4.436, 46.118, nan
5.01, 46.127, nan
5.537, 46.136, nan
5.96, 45.823, nan
5.929, 46.202, nan
5.78, 43.119, nan
5.632, 42.717, nan
5.281, 42.604, nan
4.831, 42.459, nan
4.252, 42.258, nan
6.242, 43.434, nan
4.007, 41.843, nan
3.599, 41.789, nan
6.232, 45.368, nan
6.231, 44.898, nan
6.3, 44.436, nan
6.44, 44.032, nan
6.307, 45.779, nan
1.924, 41.775, nan
1.441, 41.759, nan
2.45, 41.776, nan
3.016, 41.662, nan
6.609, 43.682, nan
6.314, 46.183, nan
6.864, 43.863, nan
6.792, 44.139, nan
6.723, 44.487, nan
6.7, 44.874, nan
6.736, 45.294, nan
6.754, 45.726, nan
6.771, 46.177, nan
2.74, 41.298, nan
2.375, 41.281, nan
1.935, 41.259, nan
1.488, 41.217, nan
1.131, 41.209, nan
0.84, 41.704, nan
0, 41.905, nan
0, 46.667, nan
1.008, 46.552, nan
1.82, 46.812, nan
2.551, 46.889, nan
3.228, 46.901, nan
3.878, 46.86, nan
4.465, 46.805, nan
5.025, 46.758, nan
5.542, 46.727, nan
5.934, 46.634, nan
6.321, 46.629, nan
5.803, 42.415, nan
6.137, 42.736, nan
6.511, 43.057, nan
5.435, 42.182, nan
5.002, 41.956, nan
4.551, 41.729, nan
4.155, 41.465, nan
6.867, 43.382, nan
3.724, 41.293, nan
3.248, 41.126, nan
2.834, 40.918, nan
6.762, 46.61, nan
2.404, 40.816, nan
1.948, 40.735, nan
1.494, 40.691, nan
1.05, 40.689, nan
0.6, 40.842, nan
0, 40.952, nan
5.97, 47.017, nan
6.316, 47.039, nan
6.756, 47.055, nan
0, 47.619, nan
0.926, 47.609, nan
1.784, 47.68, nan
2.559, 47.719, nan
3.294, 47.697, nan
3.981, 47.631, nan
4.533, 47.45, nan
5.074, 47.405, nan
5.696, 47.325, nan
7.169, 43.77, nan
7.098, 44.154, nan
7.077, 44.488, nan
7.098, 44.82, nan
7.269, 45.18, nan
7.278, 45.695, nan
7.281, 46.162, nan
7.254, 46.613, nan
6.428, 42.34, nan
6.038, 42.029, nan
5.633, 41.738, nan
6.802, 42.669, nan
7.159, 43.018, nan
5.214, 41.467, nan
4.783, 41.218, nan
4.339, 40.99, nan
3.884, 40.785, nan
7.498, 43.383, nan
3.42, 40.603, nan
2.948, 40.444, nan
2.468, 40.309, nan
7.238, 47.046, nan
1.981, 40.198, nan
1.49, 40.112, nan
0.996, 40.05, nan
0.498, 40.012, nan
0, 40, nan
6.228, 47.471, nan
6.741, 47.493, nan
7.243, 47.492, nan
4.604, 48, nan
5.075, 48.031, nan
5.656, 48.033, nan
6.212, 47.992, nan
7.326, 44.232, nan
7.367, 44.475, nan
7.326, 44.715, nan
7.509, 44.056, nan
7.818, 43.765, nan
7.521, 44.839, nan
7.756, 44.967, nan
7.763, 45.257, nan
7.808, 45.684, nan
0, 48.571, nan
0.911, 48.576, nan
1.776, 48.602, nan
2.593, 48.605, nan
3.382, 48.588, nan
4.222, 48.485, nan
7.9, 46.196, nan
7.739, 46.622, nan
7.723, 47.046, nan
6.803, 42.668, nan
6.429, 42.338, nan
6.04, 42.027, nan
5.635, 41.736, nan
5.216, 41.465, nan
7.16, 43.016, nan
7.5, 43.381, nan
4.784, 41.216, nan
4.34, 40.988, nan
3.885, 40.783, nan
3.421, 40.601, nan
7.82, 43.764, nan
2.948, 40.442, nan
2.468, 40.307, nan
1.982, 40.196, nan
7.739, 47.48, nan
1.491, 40.109, nan
0.996, 40.047, nan
0.499, 40.01, nan
0, 39.998, nan
6.734, 47.962, nan
7.261, 47.944, nan
7.774, 47.93, nan
4.971, 48.729, nan
7.703, 44.469, nan
8.119, 44.163, nan
8.121, 44.161, nan
8.019, 44.797, nan
8.191, 45.165, nan
8.358, 45.601, nan
8.121, 46.406, nan
8.135, 46.669, nan
8.381, 46.376, nan
8.506, 46.109, nan
8.159, 47.041, nan
8.217, 47.466, nan
0, 49.524, nan
0.906, 49.532, nan
1.778, 49.539, nan
2.604, 49.551, nan
3.393, 49.542, nan
4.173, 49.554, nan
4.929, 49.614, nan
1.982, 40.193, nan
2.469, 40.304, nan
2.949, 40.439, nan
3.422, 40.598, nan
3.886, 40.781, nan
4.341, 40.986, nan
4.785, 41.213, nan
5.217, 41.463, nan
5.636, 41.733, nan
6.041, 42.025, nan
6.431, 42.336, nan
6.805, 42.666, nan
7.162, 43.014, nan
7.502, 43.38, nan
7.822, 43.762, nan
8.123, 44.16, nan
1.491, 40.107, nan
5.709, 48.78, nan
6.235, 48.512, nan
6.761, 48.429, nan
1.761, 39.723, nan
8.273, 47.913, nan
0.996, 40.045, nan
0.499, 40.007, nan
0, 39.995, nan
7.287, 48.395, nan
7.814, 48.382, nan
8.328, 48.368, nan
8.4, 44.575, nan
8.402, 44.573, nan
8.404, 44.572, nan
8.66, 45, nan
8.899, 45.438, nan
9.115, 45.887, nan
8.473, 46.632, nan
8.587, 47.003, nan
8.832, 46.499, nan
9.309, 46.347, nan
8.677, 47.432, nan
8.762, 47.884, nan
2.109, 39.87, nan
2.522, 39.945, nan
3.002, 40.022, nan
3.493, 40.165, nan
3.989, 40.306, nan
4.487, 40.465, nan
5.016, 40.676, nan
5.599, 40.908, nan
5.938, 41.304, nan
6.328, 41.564, nan
6.747, 41.837, nan
7.195, 42.159, nan
7.522, 42.595, nan
7.907, 42.957, nan
8.258, 43.42, nan
8.564, 43.867, nan
1.492, 39.438, nan
5.995, 48.976, nan
6.335, 48.903, nan
6.015, 49.312, nan
6.802, 48.851, nan
7.325, 48.839, nan
1.997, 39.488, nan
2.197, 39.647, nan
1.759, 39.333, nan
5.948, 40.829, nan
6.21, 40.957, nan
0, 50.476, nan
0.904, 50.48, nan
1.776, 50.488, nan
2.598, 50.492, nan
3.386, 50.519, nan
4.153, 50.531, nan
4.871, 50.526, nan
5.748, 49.689, nan
5.534, 50.561, nan
8.962, 44.252, nan
8.832, 48.346, nan
7.854, 48.831, nan
8.377, 48.825, nan
8.891, 48.812, nan
8.662, 44.999, nan
8.665, 44.998, nan
9.177, 44.757, nan
8.901, 45.437, nan
9.117, 45.886, nan
9.311, 46.346, nan
9.008, 46.922, nan
9.143, 47.371, nan
