X, Y, campo
0.865109, 40.0287, 2.96387e-10
0.133172, 60.0148, 5.44634e-11
0.208535, 39.9934, 9.60265e-11
0.635455, 40.0114, 2.25734e-10
0.059027, 39.9751, 3.7236e-11
0.300646, 39.9945, 1.19089e-10
0.240594, 39.9354, 1.10503e-10
0.379909, 39.9984, 1.4289e-10
0.46432, 40.0009, 1.737e-10
0.555382, 39.9997, 2.00682e-10
0.594584, 40.0089, 2.19035e-10
0.783487, 40.0219, 2.79904e-10
0.713685, 40.0115, 2.534e-10
0.837049, 40.0263, 2.92538e-10
0.655132, 40.0044, 2.35556e-10
0.890587, 40.0309, 3.05102e-10
1.04521, 40.0407, 3.54287e-10
0.961148, 40.0322, 3.30134e-10
1.09174, 40.0509, 3.68822e-10
1.26707, 40.0718, 4.18136e-10
1.23032, 40.0563, 4.05091e-10
1.39102, 40.0814, 4.47797e-10
1.35022, 40.0775, 4.38163e-10
1.15276, 40.0578, 3.87447e-10
1.51034, 40.1059, 4.74195e-10
1.57104, 40.107, 4.86309e-10
1.76025, 40.1472, 5.29329e-10
1.69914, 40.1327, 5.17362e-10
1.87377, 40.1598, 5.51235e-10
1.81255, 40.1529, 5.3847e-10
1.63857, 40.1224, 5.01383e-10
1.44245, 40.0926, 4.5579e-10
1.92876, 40.1788, 5.61441e-10
1.98685, 40.1821, 5.81321e-10
2.05415, 40.2043, 5.99385e-10
2.24368, 40.242, 6.5718e-10
2.17919, 40.2313, 6.38167e-10
2.35436, 40.2635, 6.86808e-10
2.29891, 40.2588, 6.7636e-10
2.11469, 40.2087, 6.16751e-10
2.47286, 40.3015, 7.1458e-10
2.53232, 40.3169, 7.33295e-10
2.71544, 40.3651, 7.88604e-10
2.65589, 40.35, 7.7059e-10
2.76959, 40.3806, 8.02663e-10
2.58711, 40.3299, 7.46176e-10
2.42076, 40.2884, 7.02215e-10
2.94821, 40.4353, 8.57167e-10
2.90986, 40.4163, 8.40545e-10
2.99464, 40.4497, 8.71629e-10
3.2049, 40.5069, 9.4299e-10
3.1262, 40.492, 9.1721e-10
3.29734, 40.5412, 9.76384e-10
3.23779, 40.5294, 9.5474e-10
3.06424, 40.4631, 8.94187e-10
3.41879, 40.5932, 1.00036e-09
3.46924, 40.6117, 1.00626e-09
3.64623, 40.679, 1.04436e-09
3.57992, 40.6519, 1.02493e-09
3.72138, 40.7013, 1.05696e-09
3.5196, 40.6305, 1.01254e-09
3.3519, 40.5637, 9.89341e-10
2.83101, 40.3985, 8.2432e-10
3.75559, 40.7226, 1.07054e-09
3.87063, 40.7625, 1.08549e-09
3.8144, 40.7377, 1.07747e-09
3.93278, 40.7963, 1.09554e-09
4.09043, 40.8637, 1.11391e-09
4.03138, 40.839, 1.10594e-09
4.23172, 40.918, 1.13786e-09
4.15514, 40.8945, 1.12845e-09
3.98214, 40.8175, 1.10131e-09
4.31742, 40.9703, 1.15783e-09
4.37044, 40.9959, 1.16881e-09
4.55627, 41.0764, 1.19393e-09
4.48976, 41.0547, 1.18657e-09
4.60804, 41.1073, 1.20191e-09
4.42927, 41.0212, 1.17371e-09
4.26194, 40.944, 1.14697e-09
4.76272, 41.1927, 1.23797e-09
4.7039, 41.1561, 1.22288e-09
4.81597, 41.2261, 1.2489e-09
4.97297, 41.3046, 1.27172e-09
4.91213, 41.2796, 1.26378e-09
5.07623, 41.374, 1.28561e-09
5.03285, 41.3442, 1.2793e-09
4.86589, 41.2442, 1.25726e-09
5.18257, 41.4331, 1.29577e-09
5.23736, 41.4612, 1.29988e-09
5.39675, 41.5708, 1.31149e-09
5.34804, 41.5354, 1.30809e-09
5.51439, 41.6411, 1.32305e-09
5.44193, 41.6, 1.31122e-09
5.296, 41.5027, 1.30723e-09
5.14467, 41.4066, 1.28913e-09
4.64975, 41.1326, 1.21268e-09
5.58925, 41.6973, 1.3303e-09
5.64832, 41.731, 1.33909e-09
5.79942, 41.8366, 1.36154e-09
5.76921, 41.8128, 1.35327e-09
5.89725, 41.9066, 1.37499e-09
5.85132, 41.8697, 1.3695e-09
5.70125, 41.7737, 1.34701e-09
5.99607, 41.9861, 1.38761e-09
6.03901, 42.0184, 1.38998e-09
6.21568, 42.1415, 1.40708e-09
6.1466, 42.101, 1.40506e-09
6.23907, 42.1738, 1.41336e-09
6.09076, 42.0561, 1.3951e-09
5.95296, 41.954, 1.38418e-09
6.38799, 42.2949, 1.41804e-09
6.33497, 42.2445, 1.41148e-09
6.42926, 42.3293, 1.41812e-09
6.57322, 42.4523, 1.4282e-09
6.51995, 42.4043, 1.42047e-09
6.66153, 42.5301, 1.43276e-09
6.63996, 42.4966, 1.42757e-09
6.47035, 42.3639, 1.41798e-09
6.75639, 42.6065, 1.43098e-09
6.80353, 42.6592, 1.4317e-09
6.92925, 42.7758, 1.42982e-09
6.88196, 42.7327, 1.42806e-09
7.0404, 42.8763, 1.43351e-09
6.9798, 42.8266, 1.437e-09
6.84284, 42.6958, 1.42976e-09
6.71181, 42.5641, 1.43225e-09
6.29115, 42.205, 1.41328e-09
5.54948, 41.6623, 1.32634e-09
2.57775, 59.6796, 7.44809e-10
2.4428, 59.71, 7.1735e-10
2.50014, 59.6915, 7.34301e-10
2.79451, 59.6179, 8.04907e-10
2.69535, 59.639, 7.77557e-10
2.75059, 59.632, 7.89632e-10
2.62193, 59.6664, 7.58728e-10
2.0794, 59.7974, 6.38232e-10
1.97432, 59.8205, 6.01851e-10
2.03113, 59.8044, 6.23873e-10
2.33946, 59.7347, 6.89439e-10
2.20446, 59.7701, 6.63005e-10
2.26653, 59.7488, 6.76971e-10
2.15239, 59.7777, 6.55516e-10
2.38351, 59.7208, 7.03905e-10
3.49804, 59.3776, 9.52756e-10
3.38597, 59.4289, 9.25629e-10
3.43803, 59.3998, 9.39781e-10
3.74251, 59.286, 9.9399e-10
3.61416, 59.3408, 9.80049e-10
3.66665, 59.3204, 9.93096e-10
3.55361, 59.3581, 9.69199e-10
3.03463, 59.5409, 8.66282e-10
2.91232, 59.5829, 8.37141e-10
2.98774, 59.5539, 8.55768e-10
3.26685, 59.4606, 9.12414e-10
3.1728, 59.4941, 8.93516e-10
3.21404, 59.4802, 9.02986e-10
3.10863, 59.5243, 8.79242e-10
3.32882, 59.4478, 9.1729e-10
2.88212, 59.5848, 8.25915e-10
0.516937, 60.0006, 1.69302e-10
0.561387, 59.993, 1.85855e-10
0.885766, 59.9726, 2.85987e-10
0.770735, 59.979, 2.55021e-10
0.686744, 59.9883, 2.28064e-10
0.826853, 59.9745, 2.70952e-10
0.639816, 59.9966, 2.07664e-10
0.0882817, 60.0084, 3.54439e-11
0.148469, 60.0115, 5.7959e-11
0.189503, 60.0139, 7.42141e-11
0.264817, 60.0053, 9.36536e-11
0.363469, 60.0073, 1.23414e-10
0.31342, 60.0039, 1.05702e-10
0.402968, 60.0021, 1.36006e-10
0.435096, 60.0045, 1.45407e-10
1.59905, 59.8816, 5.04154e-10
1.49769, 59.8961, 4.65964e-10
1.5407, 59.8895, 4.8201e-10
1.84333, 59.8376, 5.66406e-10
1.72241, 59.8665, 5.33679e-10
1.793, 59.8468, 5.54617e-10
1.68464, 59.866, 5.26713e-10
1.0154, 59.9571, 3.26106e-10
0.94694, 59.967, 3.05033e-10
1.04797, 59.9607, 3.36072e-10
1.35225, 59.9278, 4.31394e-10
1.23425, 59.9338, 3.98036e-10
1.17565, 59.9395, 3.73581e-10
1.2921, 59.932, 4.13885e-10
1.11464, 59.9465, 3.5264e-10
1.43462, 59.9068, 4.55018e-10
1.90617, 59.8256, 5.83135e-10
3.79942, 59.2629, 1.00381e-09
6.0197, 58.0048, 1.38783e-09
6.07566, 57.9642, 1.38892e-09
6.17004, 57.8895, 1.39389e-09
9.24605, 60.5412, 3.8459e-10
6.21834, 57.8515, 1.39578e-09
6.11225, 57.9257, 1.40003e-09
5.63312, 58.283, 1.31115e-09
5.68441, 58.2379, 1.32765e-09
5.93008, 58.0667, 1.37112e-09
5.83508, 58.1319, 1.35907e-09
5.79133, 58.1631, 1.35291e-09
5.87245, 58.1049, 1.36594e-09
5.73775, 58.2092, 1.33359e-09
5.97747, 58.0382, 1.37558e-09
6.73475, 57.4059, 1.42143e-09
6.77532, 57.3762, 1.42194e-09
6.90979, 57.2409, 1.4232e-09
6.86524, 57.2831, 1.42369e-09
6.96511, 57.1877, 1.42038e-09
6.82208, 57.3288, 1.42206e-09
6.35786, 57.739, 1.41553e-09
6.32416, 57.7625, 1.41131e-09
6.42092, 57.6867, 1.41127e-09
6.64876, 57.4883, 1.4198e-09
6.54618, 57.5712, 1.41702e-09
6.49923, 57.6206, 1.41374e-09
6.60608, 57.5231, 1.41793e-09
6.46058, 57.6444, 1.4115e-09
6.6774, 57.4627, 1.42223e-09
6.26904, 57.8022, 1.40734e-09
4.41663, 58.9908, 1.121e-09
4.29445, 59.0498, 1.10281e-09
4.34742, 59.0153, 1.11464e-09
4.63468, 58.8745, 1.17096e-09
4.53088, 58.9245, 1.15849e-09
4.581, 58.8989, 1.166e-09
4.45737, 58.9691, 1.13586e-09
3.95396, 59.1947, 1.03611e-09
3.85619, 59.2394, 1.01552e-09
3.9116, 59.2127, 1.02871e-09
4.17842, 59.0949, 1.09317e-09
4.07477, 59.1451, 1.06586e-09
4.13285, 59.1214, 1.07808e-09
4.00852, 59.1725, 1.04963e-09
4.23938, 59.0682, 1.10212e-09
5.2145, 58.5431, 1.23853e-09
5.2603, 58.515, 1.24489e-09
5.51751, 58.3589, 1.29411e-09
5.40899, 58.434, 1.26241e-09
5.379, 58.4441, 1.25769e-09
5.47411, 58.3791, 1.28107e-09
5.32709, 58.477, 1.24757e-09
4.84649, 58.763, 1.20541e-09
4.74853, 58.8106, 1.18738e-09
4.79725, 58.7877, 1.1949e-09
5.12027, 58.5999, 1.23948e-09
4.99533, 58.6854, 1.22844e-09
4.94178, 58.7053, 1.2271e-09
5.05858, 58.6363, 1.23548e-09
4.88983, 58.733, 1.21646e-09
5.1739, 58.5773, 1.23627e-09
4.68905, 58.8459, 1.17675e-09
5.57228, 58.3142, 1.30346e-09
7.01091, 57.143, 1.42009e-09
6.09483, 42.0592, 1.39711e-09
7.14837, 42.9946, 1.44344e-09
7.10705, 42.9527, 1.4411e-09
7.19522, 43.0382, 1.4382e-09
7.33452, 43.1795, 1.43191e-09
7.2962, 43.133, 1.43427e-09
7.40833, 43.2578, 1.42743e-09
7.36355, 43.2155, 1.43276e-09
7.24087, 43.0902, 1.44054e-09
7.4903, 43.3614, 1.42164e-09
7.53118, 43.3953, 1.41892e-09
7.65304, 43.5438, 1.41889e-09
7.61166, 43.4882, 1.4175e-09
7.68549, 43.5884, 1.41581e-09
7.56282, 43.4442, 1.41787e-09
7.4531, 43.314, 1.42467e-09
7.80783, 43.7248, 1.40277e-09
7.76734, 43.6818, 1.40768e-09
7.84907, 43.7836, 1.40332e-09
7.9537, 43.9243, 1.39571e-09
7.92098, 43.8817, 1.4021e-09
8.03395, 44.0193, 1.38653e-09
8.00806, 43.9875, 1.39101e-09
7.88707, 43.8319, 1.403e-09
8.10389, 44.1172, 1.37906e-09
8.13931, 44.1753, 1.37424e-09
8.24831, 44.3162, 1.35188e-09
8.20725, 44.2714, 1.35977e-09
8.31558, 44.4298, 1.33616e-09
8.2819, 44.3676, 1.34379e-09
0.812356, 39.9986, 2.8483e-10
8.194, 44.2339, 1.36184e-09
8.05964, 44.0656, 1.38226e-09
7.73896, 43.6421, 1.40809e-09
8.3749, 44.5195, 1.31694e-09
8.41096, 44.5723, 1.30799e-09
8.51093, 44.7332, 1.28681e-09
8.49977, 44.6949, 1.28734e-09
8.57359, 44.8358, 1.27161e-09
8.54308, 44.7855, 1.27864e-09
8.4484, 44.6334, 1.30263e-09
8.6415, 44.9502, 1.25219e-09
8.68544, 45.0047, 1.23802e-09
8.7657, 45.152, 1.21612e-09
8.73316, 45.1027, 1.22569e-09
8.79111, 45.2155, 1.2133e-09
8.71197, 45.0588, 1.2294e-09
8.60908, 44.8891, 1.25833e-09
8.87295, 45.369, 1.18321e-09
8.85345, 45.3142, 1.19227e-09
8.91029, 45.4232, 1.17136e-09
8.99857, 45.6023, 1.13622e-09
8.95897, 45.5377, 1.1514e-09
9.04649, 45.6987, 1.11914e-09
9.01592, 45.6452, 1.1318e-09
8.9377, 45.4868, 1.16223e-09
9.09485, 45.8216, 1.09638e-09
9.12413, 45.8659, 1.08414e-09
9.19764, 46.0434, 1.04918e-09
9.17417, 45.9782, 1.06039e-09
9.21574, 46.0955, 1.03626e-09
9.14022, 45.9218, 1.07291e-09
9.06796, 45.7635, 1.1111e-09
8.82151, 45.2717, 1.2022e-09
8.34536, 44.4746, 1.32668e-09
