 X,    Y,   COH  
    0.00000E+00,    0.00000E+00,    0.46603E+75
    0.20000E+01,    0.00000E+00,    0.45883E+75
    0.40000E+01,    0.00000E+00,    0.46011E+75
    0.60000E+01,    0.00000E+00,    0.47120E+75
    0.80000E+01,    0.00000E+00,    0.49085E+75
    0.10000E+02,    0.00000E+00,    0.51906E+75
    0.12000E+02,    0.00000E+00,    0.55637E+75
    0.14000E+02,    0.00000E+00,    0.60381E+75
    0.16000E+02,    0.00000E+00,    0.66286E+75
    0.18000E+02,    0.00000E+00,    0.73557E+75
    0.20000E+02,    0.00000E+00,    0.82469E+75
    0.22000E+02,    0.00000E+00,    0.93394E+75
    0.24000E+02,    0.00000E+00,    0.10683E+76
    0.26000E+02,    0.00000E+00,    0.12343E+76
    0.28000E+02,    0.00000E+00,    0.14410E+76
    0.30000E+02,    0.00000E+00,    0.17002E+76
    0.32000E+02,    0.00000E+00,    0.20275E+76
    0.34000E+02,    0.00000E+00,    0.24434E+76
    0.36000E+02,    0.00000E+00,    0.29741E+76
    0.38000E+02,    0.00000E+00,    0.36519E+76
    0.40000E+02,    0.00000E+00,    0.45147E+76
    0.42000E+02,    0.00000E+00,    0.56017E+76
    0.44000E+02,    0.00000E+00,    0.69439E+76
    0.46000E+02,    0.00000E+00,    0.85400E+76
    0.48000E+02,    0.00000E+00,    0.10298E+77
    0.50000E+02,    0.00000E+00,    0.11179E+77
    0.00000E+00,    0.20000E+01,    0.14708E+75
    0.20000E+01,    0.20000E+01,    0.12845E+75
    0.40000E+01,    0.20000E+01,    0.12849E+75
    0.60000E+01,    0.20000E+01,    0.13154E+75
    0.80000E+01,    0.20000E+01,    0.13700E+75
    0.10000E+02,    0.20000E+01,    0.14481E+75
    0.12000E+02,    0.20000E+01,    0.15511E+75
    0.14000E+02,    0.20000E+01,    0.16817E+75
    0.16000E+02,    0.20000E+01,    0.18436E+75
    0.18000E+02,    0.20000E+01,    0.20418E+75
    0.20000E+02,    0.20000E+01,    0.22833E+75
    0.22000E+02,    0.20000E+01,    0.25771E+75
    0.24000E+02,    0.20000E+01,    0.29350E+75
    0.26000E+02,    0.20000E+01,    0.33729E+75
    0.28000E+02,    0.20000E+01,    0.39115E+75
    0.30000E+02,    0.20000E+01,    0.45781E+75
    0.32000E+02,    0.20000E+01,    0.54087E+75
    0.34000E+02,    0.20000E+01,    0.64494E+75
    0.36000E+02,    0.20000E+01,    0.77587E+75
    0.38000E+02,    0.20000E+01,    0.94080E+75
    0.40000E+02,    0.20000E+01,    0.11479E+76
    0.42000E+02,    0.20000E+01,    0.14057E+76
    0.44000E+02,    0.20000E+01,    0.17204E+76
    0.46000E+02,    0.20000E+01,    0.20932E+76
    0.48000E+02,    0.20000E+01,    0.25220E+76
    0.50000E+02,    0.20000E+01,    0.37298E+76
    0.00000E+00,    0.40000E+01,    0.41843E+74
    0.20000E+01,    0.40000E+01,    0.36738E+74
    0.40000E+01,    0.40000E+01,    0.36260E+74
    0.60000E+01,    0.40000E+01,    0.37082E+74
    0.80000E+01,    0.40000E+01,    0.38609E+74
    0.10000E+02,    0.40000E+01,    0.40798E+74
    0.12000E+02,    0.40000E+01,    0.43680E+74
    0.14000E+02,    0.40000E+01,    0.47323E+74
    0.16000E+02,    0.40000E+01,    0.51825E+74
    0.18000E+02,    0.40000E+01,    0.57317E+74
    0.20000E+02,    0.40000E+01,    0.63973E+74
    0.22000E+02,    0.40000E+01,    0.72020E+74
    0.24000E+02,    0.40000E+01,    0.81754E+74
    0.26000E+02,    0.40000E+01,    0.93559E+74
    0.28000E+02,    0.40000E+01,    0.10794E+75
    0.30000E+02,    0.40000E+01,    0.12554E+75
    0.32000E+02,    0.40000E+01,    0.14720E+75
    0.34000E+02,    0.40000E+01,    0.17399E+75
    0.36000E+02,    0.40000E+01,    0.20723E+75
    0.38000E+02,    0.40000E+01,    0.24853E+75
    0.40000E+02,    0.40000E+01,    0.29966E+75
    0.42000E+02,    0.40000E+01,    0.36244E+75
    0.44000E+02,    0.40000E+01,    0.43863E+75
    0.46000E+02,    0.40000E+01,    0.53250E+75
    0.48000E+02,    0.40000E+01,    0.69710E+75
    0.50000E+02,    0.40000E+01,    0.10518E+76
    0.00000E+00,    0.60000E+01,    0.11984E+74
    0.20000E+01,    0.60000E+01,    0.10475E+74
    0.40000E+01,    0.60000E+01,    0.10296E+74
    0.60000E+01,    0.60000E+01,    0.10497E+74
    0.80000E+01,    0.60000E+01,    0.10923E+74
    0.10000E+02,    0.60000E+01,    0.11538E+74
    0.12000E+02,    0.60000E+01,    0.12349E+74
    0.14000E+02,    0.60000E+01,    0.13371E+74
    0.16000E+02,    0.60000E+01,    0.14630E+74
    0.18000E+02,    0.60000E+01,    0.16162E+74
    0.20000E+02,    0.60000E+01,    0.18011E+74
    0.22000E+02,    0.60000E+01,    0.20234E+74
    0.24000E+02,    0.60000E+01,    0.22908E+74
    0.26000E+02,    0.60000E+01,    0.26127E+74
    0.28000E+02,    0.60000E+01,    0.30014E+74
    0.30000E+02,    0.60000E+01,    0.34726E+74
    0.32000E+02,    0.60000E+01,    0.40463E+74
    0.34000E+02,    0.60000E+01,    0.47476E+74
    0.36000E+02,    0.60000E+01,    0.56072E+74
    0.38000E+02,    0.60000E+01,    0.66613E+74
    0.40000E+02,    0.60000E+01,    0.79511E+74
    0.42000E+02,    0.60000E+01,    0.95247E+74
    0.44000E+02,    0.60000E+01,    0.11478E+75
    0.46000E+02,    0.60000E+01,    0.14308E+75
    0.48000E+02,    0.60000E+01,    0.19494E+75
    0.50000E+02,    0.60000E+01,    0.29772E+75
    0.00000E+00,    0.80000E+01,    0.34267E+73
    0.20000E+01,    0.80000E+01,    0.29913E+73
    0.40000E+01,    0.80000E+01,    0.29311E+73
    0.60000E+01,    0.80000E+01,    0.29815E+73
    0.80000E+01,    0.80000E+01,    0.30994E+73
    0.10000E+02,    0.80000E+01,    0.32729E+73
    0.12000E+02,    0.80000E+01,    0.35014E+73
    0.14000E+02,    0.80000E+01,    0.37894E+73
    0.16000E+02,    0.80000E+01,    0.41436E+73
    0.18000E+02,    0.80000E+01,    0.45731E+73
    0.20000E+02,    0.80000E+01,    0.50898E+73
    0.22000E+02,    0.80000E+01,    0.57087E+73
    0.24000E+02,    0.80000E+01,    0.64491E+73
    0.26000E+02,    0.80000E+01,    0.73352E+73
    0.28000E+02,    0.80000E+01,    0.83976E+73
