tita, campo[?]
0.093548, 3.215200e-01
0.093598, 3.007000e-01
0.093902, 3.248300e-01
0.093939, 3.032400e-01
0.157401, 3.066400e-01
0.157456, 3.175900e-01
0.182117, 3.106000e-01
0.182936, 3.137500e-01
0.210855, 3.003900e-01
0.211012, 3.250900e-01
0.250986, 3.034200e-01
0.251376, 3.210700e-01
0.339563, 3.089700e-01
0.340352, 3.154800e-01
0.402736, 3.254100e-01
0.404652, 3.000400e-01
0.443071, 3.206900e-01
0.444833, 3.037700e-01
0.543404, 3.251700e-01
0.545256, 3.000400e-01
0.646004, 3.211600e-01
0.647077, 3.033000e-01
0.658686, 3.094000e-01
0.665121, 3.150600e-01
0.711920, 3.257500e-01
0.723467, 2.994500e-01
0.771953, 3.056600e-01
0.774502, 3.224400e-01
0.779552, 3.189800e-01
0.784837, 3.021500e-01
0.871758, 3.254500e-01
0.881198, 2.996300e-01
0.916933, 3.094400e-01
0.922829, 3.150900e-01
0.963701, 3.221800e-01
0.990759, 3.021600e-01
1.018535, 3.256900e-01
1.046238, 2.991300e-01
1.047322, 3.061000e-01
1.068394, 3.183200e-01
1.124639, 3.223500e-01
1.127721, 3.023500e-01
1.201405, 3.251900e-01
1.219750, 2.997200e-01
1.244126, 3.106000e-01
1.261179, 3.057000e-01
1.262359, 3.136800e-01
1.293578, 3.189700e-01
1.294967, 3.219800e-01
1.316868, 3.252800e-01
1.344311, 3.028100e-01
1.380603, 2.992100e-01
1.461923, 3.224200e-01
1.484378, 3.253100e-01
1.521927, 3.064600e-01
1.524500, 3.022000e-01
1.532227, 3.093100e-01
1.544330, 3.146200e-01
1.567192, 2.997300e-01
1.600821, 3.179200e-01
1.603017, 3.250700e-01
1.627212, 3.222800e-01
1.714845, 3.025200e-01
1.721203, 2.991900e-01
1.779025, 3.256000e-01
1.789468, 3.053900e-01
1.816808, 3.099900e-01
1.825504, 3.219300e-01
1.833962, 3.136100e-01
1.859286, 3.189200e-01
1.903915, 3.017200e-01
1.911810, 2.996900e-01
1.934007, 3.253100e-01
1.980818, 3.049300e-01
2.019378, 3.222000e-01
2.027310, 3.002500e-01
2.089861, 3.088000e-01
2.090488, 3.256100e-01
2.095127, 3.144000e-01
2.145409, 3.178700e-01
2.182901, 3.223000e-01
2.183484, 3.002100e-01
2.225815, 3.048900e-01
2.265808, 3.250200e-01
2.302349, 2.995900e-01
2.304727, 3.015800e-01
2.366994, 3.135800e-01
2.389444, 3.097700e-01
2.392129, 3.187300e-01
2.396890, 3.217300e-01
2.408729, 3.255800e-01
2.430827, 3.050500e-01
2.486641, 2.989800e-01
2.490829, 3.023400e-01
2.574469, 3.225700e-01
2.604007, 3.251900e-01
2.606446, 3.146100e-01
2.634240, 3.095000e-01
2.645279, 2.994300e-01
2.670057, 3.174200e-01
2.686684, 3.017800e-01
2.703683, 3.246000e-01
2.705560, 3.059500e-01
2.711429, 3.215700e-01
2.825348, 2.987800e-01
2.862241, 3.019100e-01
2.874660, 3.249400e-01
2.910054, 3.102800e-01
2.917558, 3.135200e-01
2.919856, 3.210100e-01
2.956131, 3.181600e-01
2.978445, 3.047100e-01
2.992338, 2.993000e-01
3.009039, 3.248800e-01
3.062621, 3.080700e-01
3.085990, 3.013600e-01
