tita, campo[?]
0.117275, 2.001000e+00
0.117569, 1.992600e+00
0.234845, 1.996700e+00
0.469940, 1.996700e+00
0.587398, 1.996600e+00
0.821599, 1.996600e+00
0.939033, 1.996400e+00
1.174433, 1.996400e+00
1.291937, 1.996100e+00
1.526173, 1.996100e+00
1.643538, 1.995700e+00
1.878879, 1.995700e+00
1.996338, 1.995300e+00
2.230702, 1.995300e+00
2.347915, 1.994700e+00
2.583406, 1.994700e+00
2.700809, 1.994200e+00
2.935069, 1.994200e+00
3.052465, 1.993500e+00
3.229140, 1.993500e+00
3.346779, 1.991100e+00
3.346802, 1.995200e+00
3.464172, 1.992800e+00
3.640089, 1.992800e+00
3.757806, 1.991900e+00
3.933736, 1.992000e+00
4.051376, 1.988200e+00
4.051441, 1.994800e+00
4.233527, 1.981900e+00
4.233530, 2.000200e+00
4.409326, 1.986000e+00
4.409414, 1.995000e+00
4.597846, 1.981100e+00
4.597905, 1.999000e+00
4.767633, 1.986500e+00
4.767748, 1.992400e+00
4.885223, 1.989100e+00
5.049189, 1.989100e+00
5.166730, 1.987900e+00
5.401641, 1.987900e+00
5.519161, 1.986800e+00
5.753247, 1.986800e+00
5.870570, 1.985500e+00
6.105274, 1.985500e+00
6.222841, 1.984100e+00
6.457906, 1.984100e+00
6.575149, 1.982700e+00
6.750054, 1.982700e+00
6.867090, 1.985200e+00
6.867649, 1.978800e+00
7.047745, 1.990300e+00
7.047797, 1.972200e+00
7.225159, 1.975900e+00
7.225379, 1.984900e+00
7.412113, 1.970600e+00
7.412410, 1.988600e+00
7.583356, 1.975700e+00
7.583677, 1.981600e+00
7.701204, 1.978100e+00
7.866374, 1.978000e+00
7.983612, 1.976300e+00
8.219272, 1.976300e+00
8.337181, 1.974600e+00
8.571178, 1.974600e+00
8.688343, 1.972700e+00
8.862683, 1.972700e+00
8.980094, 1.973700e+00
8.980412, 1.969800e+00
9.097830, 1.970700e+00
9.275721, 1.970700e+00
9.393151, 1.968700e+00
9.628598, 1.968700e+00
9.746088, 1.966600e+00
9.980437, 1.966600e+00
10.097666, 1.964500e+00
10.264309, 1.964500e+00
10.381822, 1.966500e+00
10.381951, 1.960700e+00
10.557458, 1.954000e+00
10.557792, 1.970500e+00
10.743182, 1.964200e+00
10.743199, 1.958000e+00
10.859915, 1.960000e+00
11.037678, 1.960000e+00
11.154139, 1.957600e+00
11.388390, 1.957600e+00
11.506714, 1.955100e+00
11.674875, 1.955100e+00
11.792352, 1.951100e+00
11.792519, 1.957000e+00
11.969017, 1.960900e+00
11.969643, 1.944300e+00
12.153058, 1.948200e+00
12.153350, 1.954300e+00
12.271055, 1.950000e+00
12.446604, 1.950000e+00
12.563438, 1.947300e+00
12.798858, 1.947300e+00
12.916392, 1.944600e+00
13.085105, 1.944600e+00
13.202380, 1.946300e+00
13.203154, 1.940300e+00
13.380584, 1.949900e+00
13.381089, 1.933500e+00
13.563392, 1.937200e+00
13.564066, 1.943200e+00
13.680451, 1.938900e+00
13.854839, 1.938800e+00
13.973587, 1.935900e+00
14.206864, 1.935800e+00
14.325406, 1.932800e+00
14.503063, 1.932800e+00
14.620395, 1.929200e+00
14.621404, 1.933100e+00
14.738740, 1.929700e+00
14.912687, 1.929700e+00
15.029899, 1.926500e+00
15.264242, 1.926500e+00
15.381473, 1.923200e+00
15.615829, 1.923200e+00
15.734262, 1.919900e+00
15.968398, 1.919900e+00
16.086518, 1.916500e+00
16.256369, 1.916500e+00
16.374180, 1.912100e+00
16.374200, 1.917800e+00
16.551267, 1.904900e+00
16.551445, 1.921000e+00
16.733773, 1.914100e+00
16.735241, 1.908100e+00
16.851231, 1.909500e+00
17.024686, 1.909400e+00
17.142646, 1.905800e+00
17.324739, 1.905800e+00
17.441524, 1.900700e+00
17.441963, 1.906900e+00
17.631406, 1.894100e+00
17.632102, 1.910100e+00
17.802046, 1.897100e+00
17.802662, 1.902500e+00
17.919071, 1.898400e+00
18.081616, 1.898400e+00
18.199491, 1.894600e+00
18.369785, 1.894500e+00
18.486883, 1.894700e+00
18.487887, 1.890900e+00
18.604987, 1.890700e+00
18.785933, 1.890600e+00
18.903689, 1.886700e+00
19.085318, 1.886600e+00
19.202179, 1.881300e+00
19.203895, 1.887500e+00
19.392821, 1.874700e+00
19.393621, 1.890400e+00
19.563052, 1.877400e+00
19.564978, 1.882700e+00
19.682008, 1.878500e+00
19.844043, 1.878500e+00
19.960304, 1.874300e+00
20.131123, 1.874300e+00
20.247496, 1.870500e+00
20.247694, 1.874200e+00
20.365504, 1.870000e+00
20.547884, 1.870000e+00
20.665880, 1.865700e+00
20.899944, 1.865700e+00
21.017610, 1.861300e+00
21.253517, 1.861300e+00
21.369465, 1.856800e+00
21.549136, 1.856800e+00
21.665546, 1.852600e+00
21.666986, 1.856200e+00
21.783390, 1.852300e+00
21.956358, 1.852200e+00
22.074554, 1.847700e+00
22.309032, 1.847600e+00
22.426516, 1.842900e+00
22.661103, 1.842900e+00
22.779147, 1.838200e+00
23.014211, 1.838200e+00
23.131349, 1.833300e+00
23.365415, 1.833300e+00
23.482222, 1.828500e+00
23.662453, 1.828400e+00
23.781183, 1.823900e+00
23.782075, 1.827600e+00
23.898504, 1.823500e+00
24.070736, 1.823400e+00
24.187875, 1.818400e+00
24.422149, 1.818400e+00
24.540209, 1.813300e+00
24.774941, 1.813200e+00
24.891736, 1.808100e+00
25.127385, 1.808100e+00
25.244728, 1.802900e+00
25.479219, 1.802800e+00
25.595675, 1.797500e+00
25.777269, 1.797500e+00
25.895551, 1.796400e+00
25.895825, 1.792800e+00
26.012130, 1.792200e+00
26.184201, 1.792100e+00
26.299901, 1.786700e+00
26.472129, 1.786700e+00
26.588083, 1.786900e+00
26.590007, 1.781500e+00
26.766967, 1.788700e+00
26.768000, 1.773700e+00
26.949048, 1.775600e+00
26.949957, 1.781000e+00
27.067449, 1.775600e+00
27.241752, 1.775600e+00
27.357403, 1.770000e+00
27.592070, 1.770000e+00
27.710957, 1.764300e+00
27.945553, 1.764300e+00
