tita, itv [V]
0.000000, 1.489400e-01
0.171048, 1.489300e-01
0.352245, 1.489300e-01
0.507930, 1.489200e-01
0.704523, 1.489100e-01
1.056794, 1.488900e-01
1.408999, 1.488700e-01
1.761315, 1.488400e-01
2.113525, 1.488100e-01
2.465686, 1.487700e-01
2.817969, 1.487200e-01
3.170136, 1.486700e-01
3.522541, 1.486200e-01
3.874818, 1.485600e-01
4.226912, 1.484900e-01
4.579283, 1.484100e-01
4.931489, 1.483300e-01
5.283738, 1.482500e-01
5.635777, 1.481600e-01
5.988472, 1.480600e-01
6.340350, 1.479600e-01
6.692838, 1.478600e-01
7.045095, 1.477400e-01
7.397067, 1.476200e-01
7.749496, 1.475000e-01
8.101656, 1.473700e-01
8.454225, 1.472400e-01
8.806223, 1.471000e-01
9.158365, 1.469600e-01
9.510676, 1.468100e-01
9.862902, 1.466500e-01
10.215632, 1.464900e-01
10.567523, 1.463200e-01
10.919936, 1.461500e-01
11.272057, 1.459700e-01
11.624451, 1.457900e-01
11.976574, 1.456000e-01
12.328728, 1.454000e-01
12.681221, 1.452000e-01
13.033434, 1.450000e-01
13.385447, 1.447800e-01
13.737843, 1.445700e-01
14.090373, 1.443400e-01
14.442348, 1.441200e-01
14.794477, 1.438800e-01
15.146312, 1.436400e-01
15.499574, 1.434000e-01
15.850759, 1.431500e-01
16.203211, 1.428900e-01
16.556456, 1.426300e-01
16.907520, 1.423700e-01
17.259400, 1.421100e-01
17.612721, 1.418300e-01
17.965249, 1.415500e-01
18.317233, 1.412600e-01
18.668651, 1.409700e-01
19.021073, 1.406700e-01
19.373899, 1.403700e-01
19.725922, 1.400600e-01
20.078100, 1.397400e-01
20.430731, 1.394200e-01
20.782828, 1.391000e-01
21.135129, 1.387700e-01
21.487397, 1.384300e-01
21.839399, 1.380900e-01
22.192471, 1.377400e-01
22.543669, 1.373900e-01
22.896526, 1.370400e-01
23.248596, 1.366800e-01
23.600738, 1.363100e-01
23.952351, 1.359400e-01
24.305499, 1.355600e-01
24.657617, 1.351800e-01
25.010153, 1.348000e-01
25.362168, 1.344100e-01
25.714106, 1.340100e-01
26.066518, 1.336100e-01
26.418413, 1.332000e-01
26.771836, 1.327900e-01
27.123205, 1.323800e-01
27.475904, 1.319600e-01
27.826767, 1.315400e-01
28.179022, 1.311100e-01
28.533503, 1.306700e-01
28.884250, 1.302300e-01
29.236744, 1.297900e-01
29.588485, 1.293400e-01
29.941814, 1.288800e-01
30.292972, 1.284200e-01
30.646029, 1.279600e-01
30.998350, 1.274900e-01
31.350923, 1.270100e-01
31.702518, 1.265300e-01
32.054881, 1.260500e-01
32.406019, 1.255600e-01
32.757712, 1.250600e-01
33.111790, 1.245700e-01
33.464692, 1.240600e-01
33.816642, 1.235500e-01
34.167627, 1.230400e-01
34.520637, 1.225300e-01
34.872946, 1.220100e-01
35.225485, 1.214800e-01
35.577326, 1.209500e-01
35.929662, 1.204200e-01
36.282756, 1.198800e-01
36.632766, 1.193300e-01
36.985489, 1.187800e-01
37.337067, 1.182300e-01
37.691215, 1.176700e-01
38.044026, 1.171100e-01
38.396164, 1.165400e-01
38.746944, 1.159700e-01
39.100411, 1.153900e-01
39.450958, 1.148100e-01
39.804254, 1.142300e-01
40.156232, 1.136400e-01
40.508967, 1.130400e-01
40.860834, 1.124600e-01
41.213270, 1.118600e-01
41.565062, 1.112500e-01
41.917032, 1.106400e-01
42.270493, 1.100300e-01
42.622480, 1.094100e-01
42.973401, 1.087900e-01
43.325218, 1.081600e-01
43.679935, 1.075300e-01
44.029664, 1.068900e-01
44.382326, 1.062500e-01
44.735770, 1.056100e-01
45.088010, 1.049600e-01
45.439432, 1.043100e-01
45.791685, 1.036600e-01
46.145000, 1.030100e-01
46.497126, 1.023500e-01
46.850350, 1.016800e-01
47.202404, 1.010100e-01
47.553478, 1.003400e-01
47.907619, 9.967000e-02
48.258488, 9.899000e-02
48.610534, 9.830000e-02
48.963597, 9.761000e-02
49.315719, 9.692000e-02
49.668895, 9.623000e-02
50.020779, 9.553000e-02
50.371921, 9.482000e-02
50.723978, 9.412000e-02
51.074948, 9.342000e-02
51.429471, 9.270000e-02
51.780516, 9.199000e-02
52.132923, 9.127000e-02
52.484265, 9.054000e-02
52.836830, 8.982000e-02
53.188184, 8.909000e-02
53.543101, 8.835000e-02
53.894875, 8.762000e-02
54.245631, 8.688000e-02
54.599857, 8.613000e-02
54.950762, 8.539000e-02
55.303021, 8.464000e-02
55.654292, 8.389000e-02
56.006796, 8.314000e-02
56.358498, 8.238000e-02
56.713862, 8.161000e-02
57.063191, 8.085000e-02
57.416695, 8.008000e-02
57.769124, 7.931000e-02
58.122909, 7.853000e-02
58.473361, 7.776000e-02
58.827793, 7.698000e-02
59.176139, 7.619000e-02
59.531116, 7.541000e-02
59.882622, 7.463000e-02
60.235743, 7.383000e-02
60.587725, 7.304000e-02
60.941505, 7.224000e-02
61.289297, 7.144000e-02
61.643509, 7.064000e-02
61.997059, 6.983000e-02
62.347134, 6.902000e-02
62.701217, 6.821000e-02
63.051970, 6.740000e-02
63.404494, 6.658000e-02
63.756120, 6.577000e-02
64.109424, 6.495000e-02
64.461864, 6.413000e-02
64.813433, 6.330000e-02
65.166865, 6.247000e-02
65.519459, 6.164000e-02
65.871221, 6.081000e-02
66.222043, 5.997000e-02
66.577416, 5.913000e-02
66.926742, 5.829000e-02
67.280543, 5.746000e-02
67.630928, 5.661000e-02
67.983196, 5.577000e-02
68.334711, 5.492000e-02
68.690812, 5.407000e-02
69.040858, 5.321000e-02
69.392850, 5.236000e-02
69.744041, 5.150000e-02
70.097416, 5.064000e-02
70.449917, 4.978000e-02
70.801749, 4.893000e-02
71.155625, 4.806000e-02
71.506149, 4.719000e-02
71.858746, 4.633000e-02
72.210726, 4.545000e-02
72.564816, 4.458000e-02
72.915403, 4.371000e-02
73.268307, 4.283000e-02
73.620471, 4.195000e-02
73.972149, 4.107000e-02
74.323270, 4.020000e-02
74.676447, 3.932000e-02
75.029180, 3.844000e-02
75.381388, 3.755000e-02
75.735722, 3.667000e-02
76.084086, 3.578000e-02
76.437517, 3.489000e-02
76.790413, 3.400000e-02
77.142851, 3.310000e-02
77.494780, 3.222000e-02
77.849008, 3.133000e-02
78.200082, 3.043000e-02
78.550627, 2.953000e-02
78.903687, 2.863000e-02
79.256257, 2.773000e-02
79.608448, 2.683000e-02
79.960233, 2.593000e-02
80.311660, 2.503000e-02
80.665527, 2.413000e-02
81.019118, 2.323000e-02
81.369476, 2.232000e-02
81.722365, 2.142000e-02
82.074926, 2.051000e-02
82.427250, 1.960000e-02
82.779234, 1.869000e-02
83.130932, 1.778000e-02
83.482424, 1.688000e-02
83.836496, 1.597000e-02
84.187511, 1.506000e-02
84.541115, 1.415000e-02
84.894551, 1.324000e-02
85.244936, 1.233000e-02
85.595129, 1.142000e-02
85.950874, 1.050000e-02
86.300731, 9.590000e-03
86.653347, 8.680000e-03
87.005757, 7.770000e-03
87.358123, 6.850000e-03
87.707560, 5.940000e-03
88.062566, 5.020000e-03
88.414673, 4.110000e-03
88.766745, 3.190000e-03
89.118718, 2.270000e-03
89.473540, 1.370000e-03
89.822605, 4.500000e-04
90.177395, -4.700000e-04
90.526460, -1.380000e-03
90.881282, -2.300000e-03
91.233255, -3.220000e-03
91.585327, -4.130000e-03
91.937434, -5.050000e-03
92.292440, -5.950000e-03
92.641877, -6.870000e-03
92.994243, -7.780000e-03
93.346653, -8.700000e-03
93.699269, -9.610000e-03
94.049126, -1.053000e-02
94.404871, -1.144000e-02
94.755064, -1.235000e-02
95.105449, -1.325000e-02
95.458885, -1.417000e-02
95.812489, -1.508000e-02
96.163504, -1.599000e-02
96.517576, -1.690000e-02
96.869068, -1.781000e-02
97.220766, -1.872000e-02
97.572750, -1.963000e-02
97.925074, -2.052000e-02
98.277635, -2.143000e-02
98.630524, -2.234000e-02
98.980882, -2.324000e-02
99.334473, -2.415000e-02
99.688340, -2.505000e-02
100.039767, -2.596000e-02
100.391552, -2.685000e-02
100.743743, -2.775000e-02
101.096313, -2.865000e-02
101.449373, -2.955000e-02
101.799918, -3.044000e-02
102.150992, -3.134000e-02
102.505220, -3.223000e-02
102.857149, -3.313000e-02
103.209587, -3.401000e-02
103.562483, -3.490000e-02
103.915914, -3.579000e-02
104.264278, -3.668000e-02
104.618612, -3.757000e-02
104.970820, -3.845000e-02
105.323553, -3.933000e-02
105.676730, -4.022000e-02
106.027851, -4.109000e-02
106.379529, -4.197000e-02
106.731693, -4.284000e-02
107.084597, -4.372000e-02
107.435184, -4.460000e-02
107.789274, -4.547000e-02
108.141254, -4.634000e-02
108.493851, -4.721000e-02
108.844375, -4.806000e-02
109.198251, -4.893000e-02
109.550083, -4.979000e-02
109.902584, -5.065000e-02
110.255959, -5.151000e-02
110.607150, -5.237000e-02
110.959142, -5.323000e-02
111.309188, -5.407000e-02
111.665289, -5.492000e-02
112.016804, -5.577000e-02
112.369072, -5.662000e-02
112.719457, -5.746000e-02
113.073258, -5.830000e-02
113.422584, -5.914000e-02
113.777957, -5.998000e-02
114.128779, -6.081000e-02
114.480541, -6.164000e-02
114.833135, -6.248000e-02
115.186567, -6.330000e-02
115.538136, -6.413000e-02
115.890576, -6.495000e-02
116.243880, -6.578000e-02
116.595506, -6.660000e-02
116.948030, -6.740000e-02
117.298783, -6.822000e-02
117.652866, -6.903000e-02
118.002941, -6.984000e-02
118.356491, -7.064000e-02
118.710703, -7.144000e-02
119.058495, -7.224000e-02
119.412275, -7.304000e-02
119.764257, -7.383000e-02
120.117378, -7.462000e-02
120.468884, -7.541000e-02
120.823861, -7.619000e-02
121.172207, -7.698000e-02
