tita [grados], phi [V]
0.0, 0.49996
0.0, 0.48237
0.0, 0.46326
0.0, 0.44171
0.0, 0.42017
0.0, 0.39899
0.0, 0.37816
0.0, 0.35992
0.0, 0.34385
0.280136693521, 0.36239
0.283083144383, 0.47953
0.351556761608, 0.49996
0.351557034433, 0.34386
0.469996232136, 0.38559
0.473797092407, 0.45553
0.546991170569, 0.42073
0.578315464265, 0.36096
0.58051432564, 0.48072
0.703132734376, 0.34387
0.703168821414, 0.49996
0.874803932724, 0.48612
0.882395419384, 0.37359
0.883034563542, 0.35609
0.890994130995, 0.46755
0.952713402677, 0.3983
0.9708101123, 0.44318
1.05470608601, 0.34388
1.05473522651, 0.49996
1.18321086624, 0.48352
1.19394160604, 0.35833
1.24975927943, 0.42146
1.2876696195, 0.37661
1.30985928461, 0.46446
1.40621243527, 0.34391
1.40623524952, 0.49996
1.50247879271, 0.48488
1.51298965913, 0.3972
1.52973591913, 0.35848
1.61770788573, 0.4458
1.68468765794, 0.47201
1.72188309148, 0.37471
1.75784726369, 0.34394
1.75787547603, 0.49996
1.79393213674, 0.41904
1.86107430923, 0.35652
1.93267114625, 0.4845
2.0243263447, 0.46386
2.05861376113, 0.39083
2.09774420733, 0.36642
2.10937459005, 0.34397
2.10940944265, 0.49996
2.19437326529, 0.44062
2.247655433, 0.41208
2.25234378835, 0.48227
2.34097471723, 0.35663
2.46063223713, 0.37572
2.46086800008, 0.49996
2.46100231881, 0.34401
2.47883028441, 0.46405
2.55272502146, 0.48524
2.6110823205, 0.4227
2.66427164349, 0.35832
2.69543839834, 0.39647
2.77702390539, 0.44379
2.78190578864, 0.4784
2.81250586287, 0.49996
2.81259116511, 0.34406
2.91616581208, 0.37419
2.99665697126, 0.46269
3.00308098716, 0.35664
3.06688390974, 0.48303
3.07385048765, 0.41698
3.16397129803, 0.49996
3.1640602134, 0.34411
3.25097575276, 0.38983
3.33117715472, 0.44125
3.3311793066, 0.36404
3.36351540425, 0.46801
3.36637691322, 0.48581
3.51570371997, 0.49996
3.515717728, 0.34417
3.56946310537, 0.41158
3.67632169132, 0.48177
3.679974395, 0.35975
3.70285356839, 0.45751
3.76767635254, 0.38304
3.86212540854, 0.43333
3.8672151415, 0.34424
3.86728123565, 0.49996
3.92374863715, 0.47028
4.02517574643, 0.48634
4.03165375609, 0.36204
4.08406245009, 0.40617
4.18002486517, 0.45345
4.2126574036, 0.47297
4.21858061602, 0.34431
4.21873471178, 0.49996
4.33785480972, 0.38122
4.37519359881, 0.42966
4.37746814807, 0.35888
4.38248845995, 0.48611
4.49963800909, 0.46919
4.57016823759, 0.34439
4.570380163, 0.49996
4.61252426603, 0.40552
4.64907922966, 0.45096
4.71194440726, 0.48479
4.71836752973, 0.36159
4.82436425337, 0.469
4.86597446672, 0.38224
4.89737654318, 0.43001
4.9219191698, 0.49996
4.92199755351, 0.34447
5.04157292133, 0.48206
5.10402320654, 0.36144
5.11342480548, 0.45691
5.1148496273, 0.40403
5.27319379319, 0.34456
5.27326839221, 0.49996
5.29039870207, 0.37966
5.36479421197, 0.48153
5.42798455204, 0.42978
5.44442196319, 0.36052
5.53550678275, 0.39803
5.58597982964, 0.46132
5.61956754322, 0.37555
5.62490622532, 0.49996
5.62534390565, 0.34465
5.74690069924, 0.48388
5.77003705795, 0.35839
5.9076973557, 0.38819
5.92520152251, 0.3706
5.93823750622, 0.41479
5.9762580441, 0.49996
5.97664556551, 0.34475
5.97742450457, 0.44525
6.08373739084, 0.47757
6.11682683804, 0.35812
6.22368822701, 0.37465
6.29516451911, 0.3964
6.32795901133, 0.34486
6.3280433188, 0.49996
6.3681838191, 0.45939
6.43070441728, 0.35949
6.50273618801, 0.48227
6.54826112354, 0.42697
6.55932002657, 0.37703
6.67926598743, 0.34497
6.67984504881, 0.49996
6.70775288185, 0.36266
6.71852177699, 0.39645
6.78568299776, 0.46008
6.87175151447, 0.48323
6.93526036092, 0.35807
6.97196609006, 0.37734
7.03106807211, 0.49996
7.0312079806, 0.34508
7.13136549286, 0.40607
7.15165163401, 0.43866
7.19665618027, 0.4682
7.20245183075, 0.48684
7.22163301671, 0.36154
7.37640815401, 0.38249
7.3826159051, 0.34521
7.38299165827, 0.49996
7.51349134152, 0.48239
7.52829501653, 0.36209
7.57652210382, 0.45725
7.68994342998, 0.42068
7.73435509632, 0.49996
7.73473965121, 0.34533
7.78922345603, 0.38661
7.81043848316, 0.36596
7.81250615008, 0.47966
7.98102919246, 0.45616
7.99282899296, 0.3574
8.08557690243, 0.34547
8.08570059709, 0.49996
8.09621415238, 0.47848
8.21406139755, 0.37422
8.23331919869, 0.40074
8.25049830556, 0.43341
8.28727576935, 0.35742
8.32910545247, 0.4855
8.39540693674, 0.46475
8.43727563354, 0.49996
8.43794496388, 0.34561
8.59530611869, 0.36134
8.62912136728, 0.483
8.65193643464, 0.4455
8.68911392135, 0.3823
8.78885040908, 0.49996
8.78897546875, 0.34575
8.79571829903, 0.41315
8.81361821879, 0.46595
8.96059540164, 0.48346
8.97365376255, 0.36368
9.06982559159, 0.44278
9.14027792694, 0.3459
9.14074293633, 0.49996
9.17301747445, 0.46582
9.2161022233, 0.38757
9.27433544115, 0.48344
9.34106644453, 0.36367
9.35842319463, 0.41736
9.47733427515, 0.4477
9.49208766569, 0.49996
9.49246484708, 0.34606
9.51902455268, 0.46808
9.54937583876, 0.48658
9.63374103311, 0.3801
9.67123063943, 0.36036
9.77272952743, 0.43033
9.77766828677, 0.47868
9.81812110021, 0.40326
9.84342438067, 0.49996
9.84413829841, 0.34622
9.89928915704, 0.3711
9.95658348345, 0.45582
9.99570204621, 0.35758
10.0547892593, 0.48262
10.0958876656, 0.38436
10.1951768578, 0.49996
10.1952734451, 0.34639
10.2003352126, 0.42796
10.214138595, 0.36735
10.3491451233, 0.46833
10.3604450573, 0.40187
10.3864250636, 0.48746
10.4291930504, 0.35949
10.5303858484, 0.37812
10.5463821265, 0.34657
10.5469388605, 0.49996
10.5484286602, 0.44941
10.6916603105, 0.48082
10.694252182, 0.42212
10.7320062034, 0.36122
10.8614919493, 0.39533
10.8979337345, 0.34675
10.8981212694, 0.49996
10.9509034519, 0.46519
10.9789476771, 0.3745
11.0016740507, 0.48639
11.0479289123, 0.44126
11.0585387988, 0.35883
11.177072997, 0.41379
11.2390336375, 0.47941
11.2498173735, 0.49996
11.2500023588, 0.34693
11.3696331481, 0.3627
11.3836007881, 0.38483
11.4020467252, 0.46034
11.4927653852, 0.48432
11.5108566732, 0.43499
11.6009540127, 0.49996
11.602099183, 0.34713
11.6022620214, 0.40613
11.6996058157, 0.47061
11.7276677689, 0.36571
11.8223193668, 0.48603
11.874358857, 0.45165
11.9082740019, 0.42334
11.9497114285, 0.38794
11.9532539934, 0.49996
11.9536637596, 0.34732
12.01973685, 0.47062
12.1065568871, 0.36337
12.1570427356, 0.4847
12.23310749, 0.41095
12.2853910672, 0.44036
12.3046716911, 0.34753
12.3050132311, 0.49996
12.3275853975, 0.37634
12.3470812849, 0.46562
12.4736449089, 0.39415
12.476681077, 0.48397
12.4818356808, 0.36163
12.6562074103, 0.49996
12.6562942807, 0.34774
12.6735678041, 0.42149
12.6864296492, 0.37689
12.7449356378, 0.45169
12.8047706361, 0.47897
12.8121853664, 0.36126
12.9142326914, 0.39729
13.0073770707, 0.34795
13.0081020521, 0.49996
13.0259286857, 0.37425
13.1595767793, 0.46303
13.1732621816, 0.48454
13.2523508111, 0.42761
13.3104713795, 0.36711
13.3233973754, 0.39158
13.3591566448, 0.34817
13.3600093924, 0.49996
13.5315087474, 0.48098
13.572026002, 0.45716
13.5790671126, 0.36111
13.6672539093, 0.37915
13.7104132737, 0.3484
13.7107896199, 0.49996
13.7734849832, 0.40674
13.8727756056, 0.48481
13.8910622201, 0.43668
13.9173109018, 0.36421
13.9727292279, 0.46601
14.0629251129, 0.49996
14.0629780465, 0.34863
14.1241374178, 0.38632
14.2063462962, 0.48461
14.2733622362, 0.36518
14.3078191133, 0.44919
14.3453938231, 0.46987
14.3826417119, 0.41659
14.4145065623, 0.34887
14.4145104914, 0.49996
14.5618166383, 0.38539
14.5658294178, 0.48411
14.5975706422, 0.36419
14.6750097574, 0.46502
14.6898699388, 0.44276
14.7655218894, 0.49996
14.7660325854, 0.34911
14.8369334255, 0.37516
14.8526975226, 0.40358
14.9098940727, 0.3608
14.9345359807, 0.48135
14.9883793137, 0.42679
15.0812513158, 0.38716
15.1141580113, 0.45681
15.1164761078, 0.34936
15.1168766726, 0.49996
15.1444145535, 0.36928
15.3363136111, 0.4801
15.3742697513, 0.3626
15.3861707227, 0.40699
15.4409076176, 0.43479
15.4619980948, 0.38174
15.4682319921, 0.49996
15.4683231146, 0.34962
15.6572730016, 0.45821
15.688004532, 0.36657
15.7125797648, 0.48213
15.8205721214, 0.49996
15.820594004, 0.34988
15.8540518769, 0.42218
15.86750212, 0.39471
15.9906033121, 0.3606
15.9998171624, 0.37523
16.0352826848, 0.48661
16.0704136322, 0.46963
16.1452214499, 0.44643
16.1713729292, 0.35015
16.1723791364, 0.49996
16.2807697278, 0.38287
16.296476155, 0.36447
16.3055666061, 0.42461
16.3297055113, 0.40228
16.3761307419, 0.48283
16.4812625748, 0.46243
16.5236294053, 0.49996
16.5241464508, 0.35042
16.5540114297, 0.37084
16.5797038702, 0.38655
16.6719963278, 0.41714
16.7036172566, 0.48775
16.7133954924, 0.47425
16.7310148791, 0.44108
16.7679969741, 0.3631
16.7895283471, 0.39873
16.8748565236, 0.3507
16.8754144364, 0.49996
16.8907630339, 0.37892
16.9616788132, 0.46236
17.0468883317, 0.48253
17.0793554389, 0.3643
17.1325873084, 0.41757
17.1748458838, 0.39398
17.2266155327, 0.35098
17.227212468, 0.49996
17.2550393086, 0.37756
17.3003686184, 0.44476
17.3875188673, 0.46836
17.3898920254, 0.48628
17.4334394259, 0.36543
17.577847979, 0.35127
17.5784507716, 0.49996
17.6317446714, 0.38852
17.7189257448, 0.42135
17.7204794204, 0.48127
17.7632709069, 0.36703
17.8330273261, 0.45661
