 X,    Y,   CH  
    0.00000E+00,    0.00000E+00,    0.74104E+91
    0.20000E+01,    0.00000E+00,    0.70601E+91
    0.40000E+01,    0.00000E+00,    0.69090E+91
    0.60000E+01,    0.00000E+00,    0.69756E+91
    0.80000E+01,    0.00000E+00,    0.72157E+91
    0.10000E+02,    0.00000E+00,    0.76237E+91
    0.12000E+02,    0.00000E+00,    0.82181E+91
    0.14000E+02,    0.00000E+00,    0.90400E+91
    0.16000E+02,    0.00000E+00,    0.10159E+92
    0.18000E+02,    0.00000E+00,    0.11686E+92
    0.20000E+02,    0.00000E+00,    0.13792E+92
    0.22000E+02,    0.00000E+00,    0.16736E+92
    0.24000E+02,    0.00000E+00,    0.20916E+92
    0.26000E+02,    0.00000E+00,    0.26929E+92
    0.28000E+02,    0.00000E+00,    0.35674E+92
    0.30000E+02,    0.00000E+00,    0.48498E+92
    0.32000E+02,    0.00000E+00,    0.67413E+92
    0.34000E+02,    0.00000E+00,    0.95425E+92
    0.36000E+02,    0.00000E+00,    0.13701E+93
    0.38000E+02,    0.00000E+00,    0.19882E+93
    0.40000E+02,    0.00000E+00,    0.29075E+93
    0.42000E+02,    0.00000E+00,    0.42741E+93
    0.44000E+02,    0.00000E+00,    0.62989E+93
    0.46000E+02,    0.00000E+00,    0.92541E+93
    0.48000E+02,    0.00000E+00,    0.13255E+94
    0.50000E+02,    0.00000E+00,    0.15459E+94
    0.00000E+00,    0.20000E+01,    0.15159E+92
    0.20000E+01,    0.20000E+01,    0.13286E+92
    0.40000E+01,    0.20000E+01,    0.12949E+92
    0.60000E+01,    0.20000E+01,    0.13063E+92
    0.80000E+01,    0.20000E+01,    0.13502E+92
    0.10000E+02,    0.20000E+01,    0.14250E+92
    0.12000E+02,    0.20000E+01,    0.15336E+92
    0.14000E+02,    0.20000E+01,    0.16832E+92
    0.16000E+02,    0.20000E+01,    0.18860E+92
    0.18000E+02,    0.20000E+01,    0.21612E+92
    0.20000E+02,    0.20000E+01,    0.25388E+92
    0.22000E+02,    0.20000E+01,    0.30648E+92
    0.24000E+02,    0.20000E+01,    0.38089E+92
    0.26000E+02,    0.20000E+01,    0.48767E+92
    0.28000E+02,    0.20000E+01,    0.64272E+92
    0.30000E+02,    0.20000E+01,    0.86988E+92
    0.32000E+02,    0.20000E+01,    0.12048E+93
    0.34000E+02,    0.20000E+01,    0.17008E+93
    0.36000E+02,    0.20000E+01,    0.24372E+93
    0.38000E+02,    0.20000E+01,    0.35321E+93
    0.40000E+02,    0.20000E+01,    0.51614E+93
    0.42000E+02,    0.20000E+01,    0.75863E+93
    0.44000E+02,    0.20000E+01,    0.11193E+94
    0.46000E+02,    0.20000E+01,    0.16544E+94
    0.48000E+02,    0.20000E+01,    0.24407E+94
    0.50000E+02,    0.20000E+01,    0.36407E+94
    0.00000E+00,    0.40000E+01,    0.47138E+92
    0.20000E+01,    0.40000E+01,    0.41418E+92
    0.40000E+01,    0.40000E+01,    0.40337E+92
    0.60000E+01,    0.40000E+01,    0.40674E+92
    0.80000E+01,    0.40000E+01,    0.42013E+92
    0.10000E+02,    0.40000E+01,    0.44292E+92
    0.12000E+02,    0.40000E+01,    0.47593E+92
    0.14000E+02,    0.40000E+01,    0.52119E+92
    0.16000E+02,    0.40000E+01,    0.58220E+92
    0.18000E+02,    0.40000E+01,    0.66456E+92
    0.20000E+02,    0.40000E+01,    0.77695E+92
    0.22000E+02,    0.40000E+01,    0.93274E+92
    0.24000E+02,    0.40000E+01,    0.11523E+93
    0.26000E+02,    0.40000E+01,    0.14664E+93
    0.28000E+02,    0.40000E+01,    0.19217E+93
    0.30000E+02,    0.40000E+01,    0.25879E+93
    0.32000E+02,    0.40000E+01,    0.35698E+93
    0.34000E+02,    0.40000E+01,    0.50235E+93
    0.36000E+02,    0.40000E+01,    0.71822E+93
    0.38000E+02,    0.40000E+01,    0.10393E+94
    0.40000E+02,    0.40000E+01,    0.15173E+94
    0.42000E+02,    0.40000E+01,    0.22290E+94
    0.44000E+02,    0.40000E+01,    0.32890E+94
    0.46000E+02,    0.40000E+01,    0.48676E+94
    0.48000E+02,    0.40000E+01,    0.72207E+94
    0.50000E+02,    0.40000E+01,    0.10725E+95
    0.00000E+00,    0.60000E+01,    0.15142E+93
    0.20000E+01,    0.60000E+01,    0.13302E+93
    0.40000E+01,    0.60000E+01,    0.12952E+93
    0.60000E+01,    0.60000E+01,    0.13056E+93
    0.80000E+01,    0.60000E+01,    0.13477E+93
    0.10000E+02,    0.60000E+01,    0.14195E+93
    0.12000E+02,    0.60000E+01,    0.15231E+93
    0.14000E+02,    0.60000E+01,    0.16646E+93
    0.16000E+02,    0.60000E+01,    0.18543E+93
    0.18000E+02,    0.60000E+01,    0.21089E+93
    0.20000E+02,    0.60000E+01,    0.24545E+93
    0.22000E+02,    0.60000E+01,    0.29312E+93
    0.24000E+02,    0.60000E+01,    0.36001E+93
    0.26000E+02,    0.60000E+01,    0.45542E+93
    0.28000E+02,    0.60000E+01,    0.59341E+93
    0.30000E+02,    0.60000E+01,    0.79511E+93
    0.32000E+02,    0.60000E+01,    0.10922E+94
    0.34000E+02,    0.60000E+01,    0.15320E+94
    0.36000E+02,    0.60000E+01,    0.21851E+94
    0.38000E+02,    0.60000E+01,    0.31567E+94
    0.40000E+02,    0.60000E+01,    0.46037E+94
    0.42000E+02,    0.60000E+01,    0.67591E+94
    0.44000E+02,    0.60000E+01,    0.99705E+94
    0.46000E+02,    0.60000E+01,    0.14756E+95
    0.48000E+02,    0.60000E+01,    0.21887E+95
    0.50000E+02,    0.60000E+01,    0.32516E+95
    0.00000E+00,    0.80000E+01,    0.48701E+93
    0.20000E+01,    0.80000E+01,    0.42781E+93
    0.40000E+01,    0.80000E+01,    0.41650E+93
    0.60000E+01,    0.80000E+01,    0.41969E+93
    0.80000E+01,    0.80000E+01,    0.43302E+93
    0.10000E+02,    0.80000E+01,    0.45569E+93
    0.12000E+02,    0.80000E+01,    0.48834E+93
    0.14000E+02,    0.80000E+01,    0.53271E+93
    0.16000E+02,    0.80000E+01,    0.59189E+93
    0.18000E+02,    0.80000E+01,    0.67087E+93
    0.20000E+02,    0.80000E+01,    0.77745E+93
    0.22000E+02,    0.80000E+01,    0.92367E+93
    0.24000E+02,    0.80000E+01,    0.11280E+94
    0.26000E+02,    0.80000E+01,    0.14184E+94
    0.28000E+02,    0.80000E+01,    0.18374E+94
    0.30000E+02,    0.80000E+01,    0.24490E+94
    0.32000E+02,    0.80000E+01,    0.33493E+94
    0.34000E+02,    0.80000E+01,    0.46817E+94
    0.36000E+02,    0.80000E+01,    0.66607E+94
